device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,comm_g2g,G2G,661,4096,1,1,0.0,5.63150848e-05,0,0,0,0,0,56315084.800000004
GPU,norm1,NORM,661,4096,1,1,18.9275486778043,0.00052959193088,466548817.91999996,38987366.4,20793262.080000002,1096519.6800000002,2165964.8,0
GPU,ff1,FC,661,10922.666666666666,4096,1,243.73054452747252,0.029932529691306668,3140048431.7866664,1777998233.6000001,9562778938.026667,5988459479.04,9463244608.853333,0
GPU,ff2,FC,661,10922.666666666666,4096,1,243.73054452747252,0.029932529691306668,3140048431.7866664,1777998233.6000001,9562778938.026667,5988459479.04,9463244608.853333,0
GPU,glu,ACT,661,10922.666666666666,1,1,28.115889230769234,0.00141686587392,1244130181.12,103966310.39999999,55448698.88,2924052.48,10396631.040000001,0
GPU,ff3,FC,661,4096,10922.666666666666,1,266.5802830769231,0.029906884143786665,3140048431.7866664,1766214860.8,9548916763.306667,5988459479.04,9463244608.853333,0
GPU,norm2,NORM,661,4096,1,1,18.9275486778043,0.00052959193088,466548817.91999996,38987366.4,20793262.080000002,1096519.6800000002,2165964.8,0
GPU,score,MATMUL,661,661,128,32,48.397403076923084,0.00246122408736,1114128296.96,145085798.4,618003906.5600001,11324992.32,572681093.12,0
GPU,softmax,SOFTMAX,661,661,1,32,66.24662080584024,0.00182695894624,1606191503.36,134222131.2,71585136.64,3774997.4400000004,11185177.6,0
GPU,context,MATMUL,661,128,661,32,48.397403076923084,0.00238861011744,1114128296.96,106098432.0,584377303.04,11324992.32,572681093.12,0
GPU,comm_x2g,X2G,661,8192,1,1,36.09941333333333,0.0001126301696,0,0,0,0,0,112630169.60000001
GPU,qkv,FC,660,12288,4096,1,299.4491076923077,0.03321066160128,3512173854.72,1594176307.2,10747442626.56,6726824755.200001,10630044057.6,0
GPU,proj,FC,660,4096,4096,1,99.81636923076923,0.01131215323136,1274245283.84,669804134.4,3582480875.52,2242274918.4,3543348019.2000003,0
GPU,comm_g2g,G2G,660,4096,1,1,0.0,5.6229887999999996e-05,0,0,0,0,0,56229888.0
GPU,norm1,NORM,660,4096,1,1,18.909307303102622,0.0005287907328,465842995.2,38928384.0,20761804.8,1094860.8,2162688.0,0
GPU,ff1,FC,660,10922.666666666666,4096,1,243.36181450549452,0.029900360471893334,3139185759.5733333,1777257676.8,9555589201.92,5979399782.400001,9448928051.2,0
GPU,ff2,FC,660,10922.666666666666,4096,1,243.36181450549452,0.029900360471893334,3139185759.5733333,1777257676.8,9555589201.92,5979399782.400001,9448928051.2,0
GPU,glu,ACT,660,10922.666666666666,1,1,28.07335384615385,0.0014147223552,1242247987.2,103809024.0,55364812.800000004,2919628.8000000003,10380902.4,0
GPU,ff3,FC,660,4096,10922.666666666666,1,266.17698461538464,0.029873779070293333,3139185759.5733333,1764517478.3999999,9541747998.72,5979399782.400001,9448928051.2,0
GPU,norm2,NORM,660,4096,1,1,18.909307303102622,0.0005287907328,465842995.2,38928384.0,20761804.8,1094860.8,2162688.0,0
GPU,score,MATMUL,660,660,128,32,48.25107692307693,0.0024552498432,1111229644.8,144764928.0,617014886.4,11290752.0,570949632.0,0
GPU,softmax,SOFTMAX,660,660,1,32,66.04632879404745,0.001821435264,1601335296.0,133816320.0,71368704.0,3763584.0000000005,11151360.0,0
GPU,context,MATMUL,660,128,660,32,48.25107692307693,0.0023823672575999997,1111229644.8,105836544.0,583060684.8000001,11290752.0,570949632.0,0
GPU,comm_x2g,X2G,660,8192,1,1,36.044799999999995,0.00011245977599999999,0,0,0,0,0,112459776.0
GPU,qkv,FC,719,12288,4096,1,326.2180430769231,0.03575903813632,3567698575.3599997,1671895449.6,11610976419.84,7328162119.68,11580305571.84,0
GPU,proj,FC,719,4096,4096,1,108.7393476923077,0.01218323939328,1302007644.1599998,708083712.0,3870325473.28,2442720706.56,3860101857.28,0
GPU,comm_g2g,G2G,719,4096,1,1,0.0,6.12564992e-05,0,0,0,0,0,61256499.2
GPU,norm1,NORM,719,4096,1,1,19.985548410501192,0.0005760614195200001,507486535.68,42408345.6,22617784.32,1192734.72,2356019.2,0
GPU,ff1,FC,719,10922.666666666666,4096,1,265.11688580219777,0.03214194180096,3190083420.16,1820950527.9999998,10323381015.893333,6513921884.160001,10293604952.746666,0
GPU,ff2,FC,719,10922.666666666666,4096,1,265.11688580219777,0.03214194180096,3190083420.16,1820950527.9999998,10323381015.893333,6513921884.160001,10293604952.746666,0
GPU,glu,ACT,719,10922.666666666666,1,1,30.58294153846154,0.00154118995968,1353297428.48,113088921.6,60314091.52,3180625.9200000004,11308892.16,0
GPU,ff3,FC,719,4096,10922.666666666666,1,289.9715938461539,0.032170575790079994,3190083420.16,1864663039.9999998,10308302493.013332,6513921884.160001,10293604952.746666,0
