workload,ablation,tier,prefill_s,decode_s,tier_total_s,first_s,last_s,cum_end_s,decode_batches
workload_star_repair_r5w3k47.json,A4,7,0.3356211168429901,1.4487696393812453,1.7843907562242354,9.03519963083889,10.483969270220136,10.483969270220136,8192
workload_star_repair_r5w3k47.json,A4,8,1.5914259643295914,0.6232529867234646,2.214678951053056,12.075395234549728,12.698648221273192,12.698648221273192,4096
workload_star_repair_r5w3k47.json,A4,9,0.5863239172801364,1.576470530342828,2.1627944476229644,13.284972138553329,14.861442668896157,14.861442668896157,8192
workload_star_repair_r5w3k47.json,A5,0,0.14776096783768797,0.5515536516829146,0.6993146195206026,0.14776096783768797,0.6993146195206026,0.6993146195206026,4096
workload_star_repair_r5w3k47.json,A5,1,0.04038397718948805,1.1467846352546145,1.1871686124441025,0.7396985967100906,1.8864832319647051,1.8864832319647051,8192
workload_star_repair_r5w3k47.json,A5,2,0.21694763218389546,0.5581392349146088,0.7750868670985043,2.1034308641486006,2.6615700990632094,2.6615700990632094,4096
workload_star_repair_r5w3k47.json,A5,3,0.05180777924881985,1.1921339214590483,1.2439417007078681,2.7133778783120293,3.9055117997710775,3.9055117997710775,8192
workload_star_repair_r5w3k47.json,A5,4,0.3541974993219572,0.5641135735949669,0.9183110729169242,4.259709299093035,4.823822872688002,4.823822872688002,4096
workload_star_repair_r5w3k47.json,A5,5,0.10863525610237357,1.2739869598821922,1.3826222159845658,4.932458128790375,6.2064450886725675,6.2064450886725675,8192
workload_star_repair_r5w3k47.json,A5,6,0.49771408678098794,0.5727456763987577,1.0704597631797457,6.704159175453555,7.276904851852313,7.276904851852313,4096
workload_star_repair_r5w3k47.json,A5,7,0.18557570285587577,1.3801854761538435,1.5657611790097192,7.462480554708189,8.842666030862032,8.842666030862032,8192
workload_star_repair_r5w3k47.json,A5,8,0.7167020568544622,0.5826939273248843,1.2993959841793465,9.559368087716495,10.142062015041379,10.142062015041379,4096
workload_star_repair_r5w3k47.json,A5,9,0.29224725547102715,1.491806495631824,1.7840537511028511,10.434309270512406,11.92611576614423,11.92611576614423,8192
workload_star_repair_r5w3k47.json,A6,0,0.14776096783768797,0.5515536516829146,0.6993146195206026,0.14776096783768797,0.6993146195206026,0.6993146195206026,4096
workload_star_repair_r5w3k47.json,A6,1,0.0399292765292667,1.146784635254614,1.1867139117838807,0.7392438960498693,1.8860285313044833,1.8860285313044833,8192
workload_star_repair_r5w3k47.json,A6,2,0.2169476321838648,0.5581392349146088,0.7750868670984736,2.102976163488348,2.661115398402957,2.661115398402957,4096
workload_star_repair_r5w3k47.json,A6,3,0.05180777924881985,1.1921339214590483,1.2439417007078681,2.712923177651777,3.905057099110825,3.905057099110825,8192
workload_star_repair_r5w3k47.json,A6,4,0.3541974993220589,0.5641135735949669,0.9183110729170259,4.259254598432884,4.823368172027851,4.823368172027851,4096
workload_star_repair_r5w3k47.json,A6,5,0.10863525610237357,1.2739869598821922,1.3826222159845658,4.9320034281302245,6.205990388012417,6.205990388012417,8192
workload_star_repair_r5w3k47.json,A6,6,0.49771408678098794,0.5727456763987577,1.0704597631797457,6.703704474793405,7.276450151192162,7.276450151192162,4096
workload_star_repair_r5w3k47.json,A6,7,0.18557570285587577,1.3801854761538266,1.5657611790097024,7.462025854048038,8.842211330201865,8.842211330201865,8192
workload_star_repair_r5w3k47.json,A6,8,0.7167020568544622,0.5826939273248843,1.2993959841793465,9.558913387056327,10.141607314381211,10.141607314381211,4096
workload_star_repair_r5w3k47.json,A6,9,0.29224725547102715,1.491806495631824,1.7840537511028511,10.433854569852238,11.925661065484062,11.925661065484062,8192
