case_id,variant,layer,operation,bytes,standalone_us,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F1,30,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,30,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,31,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,31,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,31,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,31,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,0,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,0,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,0,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,0,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,1,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,1,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,1,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,1,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,2,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,2,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,2,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,2,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,3,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,3,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,3,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,3,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,4,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,4,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,4,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,4,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,5,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,5,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,5,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,5,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,6,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,6,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,6,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,6,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,7,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,7,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,7,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,7,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,8,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,8,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,8,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,8,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,9,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,9,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,9,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,9,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,10,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,10,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,10,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,10,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,11,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,11,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,11,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,11,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,12,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,12,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,12,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,12,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,13,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
