case_id,variant,phase,layer,step,remote_immutable_bytes,remote_private_bytes,GPU_live_KV_bytes,combined_live_KV_bytes
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,2,4212654080,4213702656,16384,8426373120
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,3,4212654080,4214226944,16384,8426897408
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,4,4212654080,4214751232,16384,8427421696
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,5,4212654080,4215275520,16384,8427945984
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,6,4212654080,4215799808,16384,8428470272
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,7,4212654080,4216324096,16384,8428994560
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,8,4212654080,4216848384,16384,8429518848
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,9,4212654080,4217372672,16384,8430043136
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,10,4212654080,4217896960,16384,8430567424
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,11,4212654080,4218421248,16384,8431091712
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,12,4212654080,4218945536,16384,8431616000
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,13,4212654080,4219469824,16384,8432140288
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,14,4212654080,4219994112,16384,8432664576
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,15,4212654080,4220518400,16384,8433188864
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,0,0,4212654080,3080192,131645440,4347379712
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,1,0,4212654080,6160384,131645440,4350459904
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,2,0,4212654080,9240576,131645440,4353540096
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,3,0,4212654080,12320768,131645440,4356620288
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,4,0,4212654080,15400960,131645440,4359700480
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,5,0,4212654080,18481152,131645440,4362780672
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,6,0,4212654080,21561344,131645440,4365860864
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,7,0,4212654080,24641536,131645440,4368941056
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,8,0,4212654080,27721728,131645440,4372021248
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,9,0,4212654080,30801920,131645440,4375101440
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,10,0,4212654080,33882112,131645440,4378181632
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,11,0,4212654080,36962304,131645440,4381261824
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,12,0,4212654080,40042496,131645440,4384342016
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,13,0,4212654080,43122688,131645440,4387422208
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,14,0,4212654080,46202880,131645440,4390502400
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,15,0,4212654080,49283072,131645440,4393582592
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,16,0,4212654080,52363264,131645440,4396662784
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,17,0,4212654080,55443456,131645440,4399742976
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,18,0,4212654080,58523648,131645440,4402823168
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,19,0,4212654080,61603840,131645440,4405903360
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,20,0,4212654080,64684032,131645440,4408983552
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,21,0,4212654080,67764224,131645440,4412063744
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,22,0,4212654080,70844416,131645440,4415143936
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,23,0,4212654080,73924608,131645440,4418224128
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,24,0,4212654080,77004800,131645440,4421304320
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,25,0,4212654080,80084992,131645440,4424384512
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,26,0,4212654080,83165184,131645440,4427464704
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,27,0,4212654080,86245376,131645440,4430544896
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,28,0,4212654080,89325568,131645440,4433625088
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,29,0,4212654080,92405760,131645440,4436705280
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,30,0,4212654080,95485952,131645440,4439785472
Fugue-asplos-EPIC-shared-readers-B1,F3,prefill,31,0,4212654080,98566144,131645440,4442865664
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,1,4212654080,99090432,16384,4311760896
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,2,4212654080,99614720,16384,4312285184
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,3,4212654080,100139008,16384,4312809472
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,4,4212654080,100663296,16384,4313333760
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,5,4212654080,101187584,16384,4313858048
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,6,4212654080,101711872,16384,4314382336
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,7,4212654080,102236160,16384,4314906624
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,8,4212654080,102760448,16384,4315430912
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,9,4212654080,103284736,16384,4315955200
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,10,4212654080,103809024,16384,4316479488
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,11,4212654080,104333312,16384,4317003776
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,12,4212654080,104857600,16384,4317528064
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,13,4212654080,105381888,16384,4318052352
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,14,4212654080,105906176,16384,4318576640
Fugue-asplos-EPIC-shared-readers-B1,F3,decode,all,15,4212654080,106430464,16384,4319100928
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,0,0,4212654080,3080192,3080192,4218814464
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,1,0,4212654080,6160384,3080192,4221894656
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,2,0,4212654080,9240576,3080192,4224974848
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,3,0,4212654080,12320768,3080192,4228055040
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,4,0,4212654080,15400960,3080192,4231135232
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,5,0,4212654080,18481152,3080192,4234215424
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,6,0,4212654080,21561344,3080192,4237295616
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,7,0,4212654080,24641536,3080192,4240375808
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,8,0,4212654080,27721728,3080192,4243456000
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,9,0,4212654080,30801920,3080192,4246536192
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,10,0,4212654080,33882112,3080192,4249616384
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,11,0,4212654080,36962304,3080192,4252696576
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,12,0,4212654080,40042496,3080192,4255776768
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,13,0,4212654080,43122688,3080192,4258856960
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,14,0,4212654080,46202880,3080192,4261937152
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,15,0,4212654080,49283072,3080192,4265017344
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,16,0,4212654080,52363264,3080192,4268097536
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,17,0,4212654080,55443456,3080192,4271177728
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,18,0,4212654080,58523648,3080192,4274257920
Fugue-asplos-EPIC-shared-readers-B1,F4,prefill,19,0,4212654080,61603840,3080192,4277338112
