request_id,variant,layer,attention_device,query_tokens,elapsed_s,energy_J,attention_service_s,common_GPU_s,selector_V_transfer_s,KV_stored_private_tokens
Fugue-asplos-request-01,F2,6,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,7,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,8,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,9,GPU,595,0.0021896500767096608,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,10,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,11,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,12,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,13,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,14,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,15,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,16,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,17,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,18,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,19,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,20,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,21,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,22,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,23,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,24,GPU,595,0.002189650076709647,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,25,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,26,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,27,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,28,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,29,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,30,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F2,31,GPU,595,0.002189650076709654,0.15575651936384,0.0011004034882565327,0.0010892465884531277,0.0,3420
Fugue-asplos-request-01,F3,0,GPU,3420,0.01040354026133572,0.8150034952857601,0.004364628265272844,0.006038911996062875,0.0,3420
Fugue-asplos-request-01,F3,1,GPU,595,0.0030497176541455593,0.28590765860992007,0.000759343221589866,0.0021985694192223583,9.180501333333333e-05,3420
Fugue-asplos-request-01,F3,2,GPU,595,0.0020028724767096624,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,3,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,4,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,5,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,6,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
