model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,F0_E2E_ms,decode_steps,decode_total_ms,output_tokens,batch,valid,displayed
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,63.43884768028429,19.675398831592357,358.56983015416967,3585.3561797705192,15,295.13098247388535,16,1,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,34.359468151781506,19.69889798892569,329.8429379856669,3585.3561797705192,15,295.48346983388535,16,1,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,2868.402620006419,26.446084715415417,3265.0938907376503,3265.0938907376503,15,396.69127073123127,16,1,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,53.612722461102344,26.446084715415417,450.3039931923336,3265.0938907376503,15,396.69127073123127,16,1,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,53.612722461102344,17.719549796427348,319.40596940751254,3265.0938907376503,15,265.7932469464102,16,1,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,31.229990423410364,17.74137545642735,297.3506222698206,3265.0938907376503,15,266.1206318464102,16,1,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,3298.6347622456196,15.81079392906538,3535.7966711816002,3535.7966711816002,15,237.1619089359807,16,4,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,91.22954625000298,15.81079392906538,328.39145518598366,3535.7966711816002,15,237.1619089359807,16,4,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,127.95513316913257,6.533243633070398,225.95378766518854,3535.7966711816002,15,97.99865449605596,16,4,true,true
LLAMA-7B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,43.25355266031475,6.283744618670398,137.50972194037072,3535.7966711816002,15,94.25616928005597,16,4,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,5311.842603921684,22.50746403259523,5649.454564410612,5649.454564410612,15,337.61196048892845,16,4,true,true
