model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
LLAMA3-8B,broadcast_k8,A5,7.378753073575655,653561258342.9907,master-diff,pim,12567192576,6400000
LLAMA3-8B,broadcast_k8,A6,7.242128653290274,613993815034.0497,master-diff,dynamic,50047493120,4982784
GPT-13B,k-hi_k32,A3b,12.45085734724074,2315321202929.479,naive,gpu,100591223296,8444712
GPT-13B,k-hi_k32,A4b,12.910232661004788,2315277093720.894,master-diff,gpu,100591223296,8375592
GPT-13B,k-hi_k32,A5,10.121053622146443,2071806976243.8296,master-diff,pim,30041719296,12327272
GPT-13B,k-hi_k32,A6,10.121053622146443,2071806976243.8296,master-diff,dynamic,30041719296,12327272
GPT-175B,k-hi_k32,A3b,45.88083522721776,19878035046575.195,naive,gpu,144851354112,18990848
GPT-175B,k-hi_k32,A5,39.666689643589464,18917212572186.004,master-diff,pim,43260068352,28800512
GPT-175B,k-hi_k32,A6,39.666689643589464,18917212572186.004,master-diff,dynamic,43260068352,28800512
LLAMA-33B,k-hi_k32,A3b,27.193897980907966,5488234443579.339,naive,gpu,196152869376,12482732
LLAMA-33B,k-hi_k32,A4b,27.748359249548397,5488413573534.204,master-diff,gpu,196152869376,13607852
LLAMA-33B,k-hi_k32,A5,23.79727336671079,4982180954428.526,master-diff,pim,58581336576,19535372
LLAMA-33B,k-hi_k32,A6,23.79727336671079,4982180954428.526,master-diff,dynamic,58581336576,19535372
LLAMA-65B,k-hi_k32,A5,21.32693307567012,7347155456056.041,master-diff,pim,24033378816,23430832
LLAMA-65B,k-hi_k32,A6,21.32693307567012,7347155456056.041,master-diff,dynamic,24033378816,23430832
LLAMA-7B,k-hi_k32,A4b,20.301219255945906,1865133783090.7983,master-diff,gpu,128756761088,7653824
LLAMA-7B,k-hi_k32,A5,20.355781730813668,1642225671475.7178,master-diff,pim,38453395968,10815168
LLAMA-7B,k-hi_k32,A6,17.163641772004535,1170902141305.9763,master-diff,dynamic,128756761088,7653824
LLAMA3-8B,k-hi_k32,A3b,17.534031115075724,1996300414234.703,naive,gpu,128756761088,9507264
LLAMA3-8B,k-hi_k32,A4b,20.93992711631683,1996249825078.9578,master-diff,gpu,128756761088,9223104
LLAMA3-8B,k-hi_k32,A5,20.797068105548934,1721447543663.0273,master-diff,pim,38453395968,17253952
LLAMA3-8B,k-hi_k32,A6,17.657860905795847,1302018183242.902,master-diff,dynamic,128756761088,9223104
GPT-13B,k-lo_k2,A3b,10.210901014836816,2074681636683.342,naive,gpu,98274935296,8444712
GPT-13B,k-lo_k2,A4b,10.237796803314255,2074226833819.5256,master-diff,gpu,98274935296,8375592
GPT-13B,k-lo_k2,A5,8.401686159065578,1662009574372.5547,master-diff,pim,20776567296,10465712
GPT-13B,k-lo_k2,A6,8.401686159065578,1662009574372.5547,master-diff,dynamic,20776567296,10465712
GPT-175B,k-lo_k2,A3b,39.39530082279877,17605925766348.44,naive,gpu,141515899392,18990848
GPT-175B,k-lo_k2,A4b,39.386055031675106,17605464362146.977,master-diff,gpu,141515899392,19316480
GPT-175B,k-lo_k2,A5,35.27970056706693,16696147032015.705,master-diff,pim,29918249472,24332768
GPT-175B,k-lo_k2,A6,35.27970056706693,16696147032015.705,master-diff,dynamic,29918249472,24332768
LLAMA-33B,k-lo_k2,A3b,23.114907772985443,4931153901937.208,naive,gpu,191636107776,12482732
LLAMA-33B,k-lo_k2,A4b,22.669206267232706,4930400052970.552,master-diff,gpu,191636107776,13607852
LLAMA-33B,k-lo_k2,A5,19.714491694160888,4024393640100.16,master-diff,pim,40514290176,16743032
LLAMA-33B,k-lo_k2,A6,19.714491694160888,4024393640100.16,master-diff,dynamic,40514290176,16743032
LLAMA-65B,k-lo_k2,A3b,22.47824759667427,6941722351497.047,naive,gpu,78619951616,15665712
LLAMA-65B,k-lo_k2,A5,19.261120808864842,6435610432567.536,master-diff,pim,16621257216,19707712
LLAMA-65B,k-lo_k2,A6,19.261120808864842,6435610432567.536,master-diff,dynamic,16621257216,19707712
LLAMA-7B,k-lo_k2,A4b,14.774910922489521,1700313568264.1355,master-diff,gpu,125791912448,7653824
LLAMA-7B,k-lo_k2,A5,12.558428272223846,1218557570369.913,master-diff,pim,26594001408,9325920
LLAMA-7B,k-lo_k2,A6,11.637333438109405,1006081926481.8568,master-diff,dynamic,125791912448,7653824
LLAMA3-8B,k-lo_k2,A3b,15.11322027647823,1818791838737.956,naive,gpu,125791912448,9507264
LLAMA3-8B,k-lo_k2,A4b,15.70608795415179,1818133831107.4993,master-diff,gpu,125791912448,9223104
LLAMA3-8B,k-lo_k2,A5,13.380451442464645,1311489875117.0764,master-diff,pim,26594001408,13453792
LLAMA3-8B,k-lo_k2,A6,12.424021743245444,1123902189304.352,master-diff,dynamic,125791912448,9223104
GPT-13B,pipeline_k8,A3b,6.7791523224694465,1008124181784.097,naive,gpu,9392948928,1704966
GPT-13B,pipeline_k8,A4b,6.784172370179339,1008018522775.0085,master-diff,gpu,9392948928,1569446
GPT-13B,pipeline_k8,A5,6.7188879580728695,1013282044399.9332,master-diff,pim,3588097728,1699646
GPT-13B,pipeline_k8,A6,6.7188879580728695,1013282044399.9332,master-diff,dynamic,3588097728,1699646
GPT-175B,pipeline_k8,A3b,30.019695172582946,12857451799202.209,naive,gpu,13525845696,3919878
GPT-175B,pipeline_k8,A4b,30.01566093320284,12857349845607.682,master-diff,gpu,13525845696,3766662
GPT-175B,pipeline_k8,A5,29.867098787934694,12850602063530.732,master-diff,pim,5166859968,4079142
GPT-175B,pipeline_k8,A6,29.867098787934694,12850602063530.732,master-diff,dynamic,5166859968,4079142
LLAMA-33B,pipeline_k8,A3b,15.82319762555972,2522562133873.912,naive,gpu,18316248768,2465526
