model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,energy_prefill_nj,energy_decode_nj,prefill_time_s,decode_time_s,power_prefill_w,power_decode_w,power_overall_w,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3,32.50240319255698,29437282851731.293,288941776928.0,7511852.0,recompute,naive,pim,gpu,3194526359207.941,26236746360101.516,6009988960.0426,101327.09484643278,41455.92860001107,21.87937565225155,0.00010844461416154819,22.692807734784388,0.004445418663487574,1087200.0,0.0,32,0,862838315486.458,28574444535524.42,8.038408038802547,24.463995153754436,107.33945220513985,1168.020364455442,905.6955781802743,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7511852.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3a,30.519378557393665,29681678841372.05,288941776928.0,7511852.0,recompute,naive-mask,pim,gpu,3194526359207.941,26481142390412.79,6009988960.0426,101327.09484643278,745.8357999991568,21.87937565225155,0.00010844461416154819,22.85024775015943,0.004445418663487574,1087200.0,0.0,32,0,862838315486.458,28818840525437.22,8.038408038802547,22.480970518591118,107.33945220513985,1281.9215478978037,972.5518750505923,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7511852.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3b,26.575683657055063,29451244850926.758,288941776928.0,11241452.0,recompute,naive,pim,gpu,3194526359207.941,26250708154930.26,6009988960.0426,305667.725887479,41455.92860001107,21.87937565225155,0.00010844461416154819,21.747638323446584,0.013410243484226784,1087200.0,0.0,32,0,862838315486.458,28588406532204.2,8.03840803879419,18.53727561826087,107.33945220525145,1542.2118719560963,1108.202717603779,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,11241452.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4,24.77333064954584,29696026788113.258,288941776928.0,11444972.0,recompute,master-diff,pim,gpu,3194526359207.941,26495490127648.836,6009988960.0426,311316.2737284713,300.4198000004591,21.87937565225155,0.00010844461416154819,22.04066989057577,0.013658056372084428,1087200.0,0.0,32,0,862838315486.458,28833188470382.336,8.013216824154691,16.76011382539115,107.67689611063011,1720.3456235900246,1198.709499671481,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,11444972.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4b,24.77333064954584,29696026788113.258,288941776928.0,11444972.0,recompute,master-diff,pim,gpu,3194526359207.941,26495490127648.836,6009988960.0426,311316.2737284713,300.4198000004591,21.87937565225155,0.00010844461416154819,22.04066989057577,0.013658056372084428,1087200.0,0.0,32,0,862838315486.458,28833188470382.336,8.013216824154691,16.76011382539115,107.67689611063011,1720.3456235900246,1198.709499671481,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,11444972.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A5,20.614147220286043,14781534571091.62,38594175008.0,13825592.0,recompute,master-diff,pim,pim,3016848539461.944,11763882734774.436,802758840.1946788,537152.6165148787,354.0669000007073,19.046392533162695,0.00010844461416154819,15.113545576786072,0.023565940286359985,507840.0,579360.0,1,31,5503375147706.63,9278159421746.506,4.824494168788204,15.789653051497838,1140.715472994124,587.6100881688697,717.0577765421872,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,13825592.0
LLAMA-33B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A6,20.614147220286043,14781534571091.62,38594175008.0,13825592.0,recompute,master-diff,pim,dynamic,3016848539461.944,11763882734774.436,802758840.1946788,537152.6165148787,354.0669000007073,19.046392533162695,0.00010844461416154819,15.113545576786072,0.023565940286359985,507840.0,579360.0,1,31,5503375147706.63,9278159421746.506,4.824494168788204,15.789653051497838,1140.715472994124,587.6100881688697,717.0577765421872,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,13825592.0
LLAMA-65B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1,74.36583152628127,281609818660986.75,224500121600.0,17489920.0,no-reuse-physical,private,pim,gpu,25529861205124.816,256061278956976.62,18678410117.864075,83353.40339085179,,47.021418357312236,25.76310770522151,9.940403570142854,0.0009142193794700246,26583040.0,0.0,32,0,235960959453164.84,45648859252270.26,57.77655565810828,16.58927586817299,4084.026068453432,2751.7089724120465,3786.817317593825,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17489920.0
LLAMA-65B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A2,256.78530707921846,16463530197013.703,28675785359360.0,55728.0,recompute,none,gpu,gpu,14077704855113.639,,2385825341898.949,,,161.19935588132705,,0.0,0.0,1449600.0,0.0,32,0,4108880931911.5366,12354649265100.123,256.78530707921846,0.0,16.001230672609875,,64.1139883908338,32,2,4096.0,,,,,,dag,supervisor,,
LLAMA-65B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3,36.812654348703425,47883569893702.86,118540230688.0,8541232.0,recompute,naive,pim,gpu,6469502413899.477,41404204853568.56,9862547193.828981,23034.26995239449,55274.90430003674,23.54346061295012,1.1122524529196102e-05,10.11005065528693,0.00025263966587591797,1449600.0,0.0,32,0,1701258993058.7446,46182310899816.875,8.21883922466379,28.593815124039637,206.9950447446961,1615.1153911948634,1300.7366825584354,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8541232.0
