model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,baseline,8,A4b,0,0.0,5.313788605240134,5.313788605240134,16,1.8654178009413453,1.878885540635434,1.8654178009413453,3.448370804298789
GPT-13B,baseline,8,A4b,1,5.313788605240134,11.647974519763986,6.334185914523852,16,7.966423642111721,7.980804675326127,2.6526350368715867,3.681550877652265
GPT-13B,baseline,8,A5,0,0.0,4.797683585074229,4.797683585074229,16,1.5726038041208386,1.5851993132549176,1.5726038041208386,3.225079780953391
GPT-13B,baseline,8,A5,1,4.797683585074229,9.079139119922969,4.28145553484874,16,5.654298898104673,5.6676771553191,0.8566153130304439,3.424840221818296
GPT-13B,baseline,8,A6,0,0.0,4.797683585074229,4.797683585074229,16,1.5726038041208386,1.5851993132549176,1.5726038041208386,3.225079780953391
GPT-13B,baseline,8,A6,1,4.797683585074229,9.079139119922969,4.28145553484874,16,5.654298898104673,5.6676771553191,0.8566153130304439,3.424840221818296
GPT-175B,baseline,8,A1,0,0.0,56.16556843362858,56.16556843362858,16,41.451000852087674,41.50847963170307,41.451000852087674,14.714567581540905
GPT-175B,baseline,8,A1,1,56.16556843362858,137.58093394176868,81.4153655081401,16,122.7212224718086,122.77926821972406,66.55565403818002,14.859711469960075
GPT-175B,baseline,8,A2,0,0.0,155.55895948814853,155.55895948814853,16,155.55895948814853,6.066189071422789,155.55895948814853,0.0
GPT-175B,baseline,8,A2,1,155.55895948814853,377.3705625694912,221.81160308134267,16,377.3705625694912,0.0,221.81160308134267,0.0
GPT-175B,baseline,8,A3,0,0.0,24.292098141008097,24.292098141008097,16,5.265571845031892,5.339854311508309,5.265571845031892,19.026526295976204
GPT-175B,baseline,8,A3,1,24.292098141008097,56.289040554880884,31.996942413872787,16,31.336244309796456,31.433566606791995,7.044146168788359,24.95279624508443
GPT-175B,baseline,8,A3a,0,0.0,24.292098141008097,24.292098141008097,16,5.265571845031892,5.339854311508309,5.265571845031892,19.026526295976204
GPT-175B,baseline,8,A3a,1,24.292098141008097,53.116202163727415,28.824104022719318,16,31.336244309796456,31.42128897962285,7.044146168788359,21.77995785393096
GPT-175B,baseline,8,A3b,0,0.0,20.094596913371227,20.094596913371227,16,5.265571845031892,5.323490063729257,5.265571845031892,14.829025068339334
GPT-175B,baseline,8,A3b,1,20.094596913371227,45.35524930240001,25.260652389028785,16,27.138743082159586,27.20990123984851,7.044146168788359,18.216506220240426
GPT-175B,baseline,8,A4,0,0.0,20.074430380149735,20.074430380149735,16,5.249097161703334,5.307002851689056,5.249097161703334,14.825333218446401
GPT-175B,baseline,8,A4,1,20.074430380149735,42.07700169685154,22.002571316701804,16,27.094745288829117,27.15326965767496,7.0203149086793815,14.982256408022423
GPT-175B,baseline,8,A4b,0,0.0,20.074430380149735,20.074430380149735,16,5.249097161703334,5.307002851689056,5.249097161703334,14.825333218446401
GPT-175B,baseline,8,A4b,1,20.074430380149735,42.07700169685154,22.002571316701804,16,27.094745288829117,27.15326965767496,7.0203149086793815,14.982256408022423
GPT-175B,baseline,8,A5,0,0.0,19.2391831471094,19.2391831471094,16,4.708786848819891,4.765540441461495,4.708786848819891,14.53039629828951
GPT-175B,baseline,8,A5,1,19.2391831471094,36.63411206677872,17.39492891966932,16,21.94679258035332,22.00416485185522,2.7076094332439204,14.687319486425398
GPT-175B,baseline,8,A6,0,0.0,19.2391831471094,19.2391831471094,16,4.708786848819891,4.765540441461495,4.708786848819891,14.53039629828951
GPT-175B,baseline,8,A6,1,19.2391831471094,36.63411206677872,17.39492891966932,16,21.94679258035332,22.00416485185522,2.7076094332439204,14.687319486425398
LLAMA-33B,baseline,8,A1,0,0.0,46.5670150658779,46.5670150658779,16,38.51747299805804,38.54891652176046,38.51747299805804,8.049542067819857
LLAMA-33B,baseline,8,A1,1,46.5670150658779,124.8781992472153,78.31118418133741,16,116.55119705554749,116.58370364485857,69.9841819896696,8.327002191667816
LLAMA-33B,baseline,8,A2,0,0.0,146.3003676022744,146.3003676022744,16,146.3003676022744,4.122733132122581,146.3003676022744,0.0
LLAMA-33B,baseline,8,A2,1,146.3003676022744,358.112053148236,211.81168554596158,16,358.112053148236,0.0,211.81168554596158,0.0
LLAMA-33B,baseline,8,A3,0,0.0,13.81434996477864,13.81434996477864,16,3.434311422401031,3.474833509293726,3.434311422401031,10.380038542377608
LLAMA-33B,baseline,8,A3,1,13.81434996477864,32.50240319255698,18.688053227778344,16,18.418446581180156,18.47336855338835,4.604096616401517,14.083956611376827
LLAMA-33B,baseline,8,A3a,0,0.0,13.81434996477864,13.81434996477864,16,3.434311422401031,3.474833509293726,3.434311422401031,10.380038542377608
LLAMA-33B,baseline,8,A3a,1,13.81434996477864,30.519378557393665,16.705028592615026,16,18.418446581180156,18.46569503390763,4.604096616401517,12.10093197621351
LLAMA-33B,baseline,8,A3b,0,0.0,11.535262209566836,11.535262209566836,16,3.434311422401031,3.4659508100027865,3.434311422401031,8.100950787165806
LLAMA-33B,baseline,8,A3b,1,11.535262209566836,26.575683657055063,15.040421447488226,16,16.139358825959995,16.18012567002678,4.604096616393159,10.436324831095067
LLAMA-33B,baseline,8,A4,0,0.0,11.522688322487603,11.522688322487603,16,3.4240147453206347,3.4556464229223836,3.4240147453206347,8.098673577166968
LLAMA-33B,baseline,8,A4,1,11.522688322487603,24.77333064954584,13.250642327058237,16,16.11189040132166,16.14572411244753,4.589202078834056,8.661440248224181
LLAMA-33B,baseline,8,A4b,0,0.0,11.522688322487603,11.522688322487603,16,3.4240147453206347,3.4556464229223836,3.4240147453206347,8.098673577166968
LLAMA-33B,baseline,8,A4b,1,11.522688322487603,24.77333064954584,13.250642327058237,16,16.11189040132166,16.14572411244753,4.589202078834056,8.661440248224181
LLAMA-33B,baseline,8,A5,0,0.0,10.5638336601143,10.5638336601143,16,2.909804987904082,2.9396997713458126,2.909804987904082,7.654028672210218
LLAMA-33B,baseline,8,A5,1,10.5638336601143,20.614147220286043,10.050313560171743,16,12.478522840998423,12.510302583888663,1.9146891808841229,8.13562437928762
LLAMA-33B,baseline,8,A6,0,0.0,10.5638336601143,10.5638336601143,16,2.909804987904082,2.9396997713458126,2.909804987904082,7.654028672210218
LLAMA-33B,baseline,8,A6,1,10.5638336601143,20.614147220286043,10.050313560171743,16,12.478522840998423,12.510302583888663,1.9146891808841229,8.13562437928762
LLAMA-65B,baseline,8,A1,0,0.0,29.69721035397915,29.69721035397915,16,21.46304903892987,21.495213731566782,21.46304903892987,8.234161315049278
LLAMA-65B,baseline,8,A1,1,29.69721035397915,74.36583152628127,44.668621172302124,16,66.01071697315756,66.0433541393807,36.31350661917841,8.355114553123713
LLAMA-65B,baseline,8,A2,0,0.0,105.385228527157,105.385228527157,16,105.385228527157,3.9637069168787944,105.385228527157,0.0
LLAMA-65B,baseline,8,A2,1,105.385228527157,256.78530707921846,151.40007855206147,16,256.78530707921846,0.0,151.40007855206147,0.0
LLAMA-65B,baseline,8,A3,0,0.0,15.213772707399174,15.213772707399174,16,3.386144499738361,3.4323129208726697,3.386144499738361,11.827628207660814
LLAMA-65B,baseline,8,A3,1,15.213772707399174,36.812654348703425,21.598881641304253,16,20.046467432324604,20.11183570722122,4.83269472492543,16.76618691637882
LLAMA-65B,baseline,8,A3a,0,0.0,15.213772707399174,15.213772707399174,16,3.386144499738361,3.4323129208726697,3.386144499738361,11.827628207660814
LLAMA-65B,baseline,8,A3a,1,15.213772707399174,34.168623208811844,18.954850501412672,16,20.046467432324604,20.101604354580267,4.83269472492543,14.12215577648724
LLAMA-65B,baseline,8,A3b,0,0.0,11.715663647906522,11.715663647906522,16,3.386144499738361,3.4186753030927206,3.386144499738361,8.329519148168162
LLAMA-65B,baseline,8,A3b,1,11.715663647906522,27.700589019568156,15.984925371661634,16,16.548358372817,16.59192170903479,4.832694724910477,11.152230646751157
LLAMA-65B,baseline,8,A4,0,0.0,11.698868353561227,11.698868353561227,16,3.3724155969645007,3.4049360010349994,3.3724155969645007,8.326452756596726
LLAMA-65B,baseline,8,A4,1,11.698868353561227,24.9687957026089,13.269927349047673,16,16.51170369506189,16.5447391550942,4.812835341500662,8.457092007547011
LLAMA-65B,baseline,8,A4b,0,0.0,11.698868353561227,11.698868353561227,16,3.3724155969645007,3.4049360010349994,3.3724155969645007,8.326452756596726
LLAMA-65B,baseline,8,A4b,1,11.698868353561227,24.9687957026089,13.269927349047673,16,16.51170369506189,16.5447391550942,4.812835341500662,8.457092007547011
LLAMA-65B,baseline,8,A5,0,0.0,11.0719575950713,11.0719575950713,16,2.991285605266388,3.0228459282168596,2.991285605266388,8.080671989804912
LLAMA-65B,baseline,8,A5,1,11.0719575950713,20.60372842947871,9.53177083440741,16,12.392417188582527,12.4244925674954,1.3204595935112273,8.211311240896183
LLAMA-65B,baseline,8,A6,0,0.0,11.0719575950713,11.0719575950713,16,2.991285605266388,3.0228459282168596,2.991285605266388,8.080671989804912
LLAMA-65B,baseline,8,A6,1,11.0719575950713,20.60372842947871,9.53177083440741,16,12.392417188582527,12.4244925674954,1.3204595935112273,8.211311240896183
LLAMA-7B,baseline,8,A1,0,0.0,65.92454668161541,65.92454668161541,16,59.232693069949434,59.25879974082618,59.232693069949434,6.691853611665977
LLAMA-7B,baseline,8,A1,1,65.92454668161541,195.81197563146787,129.88742894985245,16,187.39055720362893,187.42343048392257,121.46601052201352,8.421418427838944
LLAMA-7B,baseline,8,A2,0,0.0,88.54363177641629,88.54363177641629,16,88.54363177641629,2.096898701330591,88.54363177641629,0.0
LLAMA-7B,baseline,8,A2,1,88.54363177641629,217.53241037463525,128.98877859821897,16,217.53241037463525,0.0,128.98877859821897,0.0
LLAMA-7B,baseline,8,A3,0,0.0,8.00362926370863,8.00362926370863,16,1.6888116888616795,1.7134542478141142,1.6888116888616795,6.31481757484695
LLAMA-7B,baseline,8,A3,1,8.00362926370863,19.539024811316686,11.535395547608056,16,10.326048953561068,10.36195196423427,2.3224196898524383,9.212975857755618
LLAMA-7B,baseline,8,A3a,0,0.0,8.00362926370863,8.00362926370863,16,1.6888116888616795,1.7134542478141142,1.6888116888616795,6.31481757484695
LLAMA-7B,baseline,8,A3a,1,8.00362926370863,18.456418915017395,10.452789651308764,16,10.326048953561068,10.357786039122066,2.3224196898524383,8.130369961456326
LLAMA-7B,baseline,8,A3b,0,0.0,8.00362926370863,8.00362926370863,16,1.6888116888616795,1.7134542478141142,1.6888116888616795,6.31481757484695
LLAMA-7B,baseline,8,A3b,1,8.00362926370863,19.539024811316686,11.535395547608056,16,10.326048953561068,10.36195196423427,2.3224196898524383,9.212975857755618
LLAMA-7B,baseline,8,A4,0,0.0,9.583265579101901,9.583265579101901,16,1.683320127750514,1.714144151389687,1.683320127750514,7.899945451351387
LLAMA-7B,baseline,8,A4,1,9.583265579101901,24.00929547343293,14.426029894331027,16,11.897741515589058,11.945052253317778,2.314475936487156,12.11155395784387
LLAMA-7B,baseline,8,A4b,0,0.0,8.273304174591654,8.273304174591654,16,1.683320127750514,1.7090381882536836,1.683320127750514,6.58998404684114
LLAMA-7B,baseline,8,A4b,1,8.273304174591654,21.106820852583002,12.833516677991348,16,10.58778011107881,10.628870094055523,2.314475936487156,10.519040741504192
LLAMA-7B,baseline,8,A5,0,0.0,5.50303229906126,5.50303229906126,16,1.412471394050548,1.4284260829057114,1.412471394050548,4.090560905010713
LLAMA-7B,baseline,8,A5,1,5.50303229906126,16.404597482233143,10.901565183171883,16,8.913230565526455,8.942493697623197,3.410198266465194,7.4913669167066885
LLAMA-7B,baseline,8,A6,0,0.0,5.50303229906126,5.50303229906126,16,1.412471394050548,1.4284260829057114,1.412471394050548,4.090560905010713
LLAMA-7B,baseline,8,A6,1,5.50303229906126,15.308875152301715,9.805842853240454,16,7.8175082355480185,7.846771367642775,2.314475936486758,7.491366916753696
LLAMA3-8B,baseline,8,A1,0,0.0,117.20151398895757,117.20151398895757,16,110.63879818315979,110.6643834530363,110.63879818315979,6.5627158057977795
LLAMA3-8B,baseline,8,A1,1,117.20151398895757,358.93765707131945,241.73614308236188,16,350.79206651514517,350.82383488951575,233.5905525261876,8.145590556174284
LLAMA3-8B,baseline,8,A2,0,0.0,42.68006531467846,42.68006531467846,16,42.68006531467846,1.8495606887367004,42.68006531467846,0.0
LLAMA3-8B,baseline,8,A2,1,42.68006531467846,103.7619792682093,61.081913953530844,16,103.7619792682093,0.0,61.081913953530844,0.0
LLAMA3-8B,baseline,8,A3,0,0.0,11.568033512145389,11.568033512145389,16,1.7951689104958644,1.8333025322662846,1.7951689104958644,9.772864601649525
LLAMA3-8B,baseline,8,A3,1,11.568033512145389,28.480937870997973,16.912904358852586,16,14.029644142141974,14.08586737460121,2.461610629996585,14.451293728856
LLAMA3-8B,baseline,8,A3a,0,0.0,11.568033512145389,11.568033512145389,16,1.7951689104958644,1.8333025322662846,1.7951689104958644,9.772864601649525
LLAMA3-8B,baseline,8,A3a,1,11.568033512145389,27.13693520072137,15.568901688575982,16,14.029644142141974,14.080795241560883,2.461610629996585,13.107291058579397
LLAMA3-8B,baseline,8,A3b,0,0.0,8.580933456810614,8.580933456810614,16,1.7951689104958644,1.8216702747352227,1.7951689104958644,6.78576454631475
LLAMA3-8B,baseline,8,A3b,1,8.580933456810614,20.835464775869255,12.254531319058641,16,11.0425440868072,11.080745489388129,2.461610629996585,9.792920689062056
LLAMA3-8B,baseline,8,A4,0,0.0,11.558191866031827,11.558191866031827,16,1.7896773493846987,1.8277946111551207,1.7896773493846987,9.768514516647128
LLAMA3-8B,baseline,8,A4,1,11.558191866031827,27.866106421291978,16.30791455526015,16,14.01185874266313,14.06597687773934,2.453666876631303,13.854247678628848
LLAMA3-8B,baseline,8,A4b,0,0.0,8.773202027000215,8.773202027000215,16,1.7896773493846987,1.8169131383914352,1.7896773493846987,6.983524677615517
LLAMA3-8B,baseline,8,A4b,1,8.773202027000215,21.747437497034863,12.974235470034648,16,11.226868903631518,11.267964854780068,2.453666876631303,10.520568593403345
LLAMA3-8B,baseline,8,A5,0,0.0,6.004376567134607,6.004376567134607,16,1.520451421525387,1.5379231498601116,1.520451421525387,4.48392514560922
LLAMA3-8B,baseline,8,A5,1,6.004376567134607,16.956476230716046,10.95209966358144,16,9.54087814312585,9.56984530323426,3.5365015759912426,7.415598087590196
LLAMA3-8B,baseline,8,A6,0,0.0,6.004376567134607,6.004376567134607,16,1.520451421525387,1.5379231498601116,1.520451421525387,4.48392514560922
LLAMA3-8B,baseline,8,A6,1,6.004376567134607,15.87364153151863,9.869264964384023,16,8.458043443765744,8.487010603874154,2.4536668766311367,7.415598087752885
