q,cached,total_kv,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_softmax_us,q_input_bytes,q_input_us,output_us,new_kv_bytes,new_kv_transfer_us,cached_kv_readback_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,plain_scan_us,plain_first_tile_queries,plain_tiles,plain_kv_overlap_window_us,plain_new_kv_hidden_us,plain_new_kv_exposed_us,plain_service_us,plain_speedup_over_gpu,plain_winner,mq_scan_us,mq_first_tile_queries,mq_tiles,mq_kv_overlap_window_us,mq_new_kv_hidden_us,mq_new_kv_exposed_us,mq_service_us,mq_speedup_over_gpu,mq_winner,data_source
96,256,352,6.909088867050401,5.123593991295802,6.909088867050401,18.941771725396602,1.612983293556086,786432,2.6214399999999998,2.6214399999999998,1572864,5.2428799999999995,13.981013333333333,5.2428799999999995,0,32.922785058729936,50.93856000000008,1,96,0.20147800000000002,0.20147800000000002,5.041402,62.83582529355616,0.5239492742384045,GPU,14.275716000000001,8,12,0.421412,0.421412,4.821467999999999,25.953047293556086,1.2685518076678561,PIM,experiment2 direct simulation
128,256,384,8.694583742805,7.452500350975713,8.694583742805,24.841667836585714,2.346157517899761,1048576,3.4952533333333333,3.4952533333333333,2097152,6.990506666666667,13.981013333333333,6.990506666666667,0,38.82268116991905,72.64281599999978,1,128,0.20147800000000002,0.20147800000000002,6.789028666666667,88.76850885123287,0.4373474520675117,GPU,19.821744000000002,8,16,0.421412,0.421412,6.5690946666666665,35.7275028512331,1.0866329318221333,PIM,experiment2 direct simulation
192,256,448,12.731354766250176,13.041875614207498,12.731354766250176,38.50458514670785,4.105775656324583,1572864,5.2428799999999995,5.2428799999999995,3145728,10.485759999999999,13.981013333333333,10.485759999999999,0,52.48559848004119,123.13843199999978,1,192,0.20147800000000002,0.20147800000000002,10.284282,148.01424965632435,0.3545982809216544,GPU,32.02116,8,24,0.421412,0.421412,10.064347999999999,56.677043656324585,0.9260468629644963,GPU,experiment2 direct simulation
256,256,512,17.38916748561,19.873334269268568,17.38916748561,54.65166924048857,6.256420047732696,2097152,6.990506666666667,6.990506666666667,4194304,13.981013333333333,13.981013333333333,13.981013333333333,0,68.63268257382191,183.0835200000001,1,256,0.20147800000000002,0.20147800000000002,13.779535333333333,217.10048871439946,0.316133247696691,GPU,47.22275199999997,8,32,0.421412,0.421412,13.559601333333333,81.01978671439933,0.8471101363887458,GPU,experiment2 direct simulation
384,256,640,28.567918012073566,37.26250175487856,28.567918012073566,94.3983377790257,11.730787589498807,3145728,10.485759999999999,10.485759999999999,6291456,20.971519999999998,13.981013333333333,20.971519999999998,0,108.37935111235903,359.6705280000019,1,384,0.20147800000000002,0.20147800000000002,20.770041999999997,413.1428775895007,0.26232898348557493,GPU,86.92776000000002,8,48,0.421412,0.421412,20.550107999999998,140.18017558949882,0.773143211275004,GPU,experiment2 direct simulation
512,256,768,43.55623384615385,59.620002807805704,43.55623384615385,146.7324705001134,18.76926014319809,4194304,13.981013333333333,13.981013333333333,8388608,27.962026666666667,13.981013333333333,27.962026666666667,0,160.71348383344673,555.1564800000037,1,512,0.20147800000000002,0.20147800000000002,27.760548666666665,629.6483154765351,0.25524325227776457,GPU,129.68415999999985,8,64,0.421412,0.421412,27.540614666666666,203.9560614765313,0.7879809144674017,GPU,experiment2 direct simulation
768,256,1024,87.1124676923077,119.24000561561141,87.1124676923077,293.4649410002268,37.53852028639618,6291456,20.971519999999998,20.971519999999998,12582912,41.943039999999996,13.981013333333333,41.943039999999996,0,307.44595433356017,1116.2188799999944,1,768,0.20147800000000002,0.20147800000000002,41.741561999999995,1237.4420022863906,0.24845281941739492,GPU,248.86070399999977,8,96,0.421412,0.421412,41.521628,369.863892286396,0.8312407908569138,GPU,experiment2 direct simulation
1024,256,1280,145.18744615384617,198.73334269268568,145.18744615384617,489.10823500037804,62.56420047732696,8388608,27.962026666666667,27.962026666666667,16777216,55.92405333333333,13.981013333333333,55.92405333333333,0,503.0892483337114,1866.270719999965,1,1024,0.20147800000000002,0.20147800000000002,55.72257533333333,2040.4815491439585,0.24655417665735424,GPU,405.53983999999946,8,128,0.421412,0.421412,55.50264133333334,579.5307351439932,0.86809761385427,GPU,experiment2 direct simulation
1536,256,1792,304.893636923077,417.34001965463995,304.893636923077,1027.127293500794,131.38482100238664,12582912,41.943039999999996,41.943039999999996,25165824,83.88607999999999,13.981013333333333,83.88607999999999,0,1041.1083068341272,3933.3427200000624,1,1536,0.20147800000000002,0.20147800000000002,83.684602,4232.29822300245,0.24599124446753917,GPU,903.7534079999981,8,192,0.421412,0.421412,83.46466799999999,1202.488977002385,0.8657944702573872,GPU,experiment2 direct simulation
2048,256,2304,522.6748061538462,715.4400336936684,522.6748061538462,1760.789646001361,225.23112171837707,16777216,55.92405333333333,55.92405333333333,33554432,111.84810666666667,13.981013333333333,111.84810666666667,0,1774.7706593346943,6756.37247999987,1,2048,0.20147800000000002,0.20147800000000002,111.64662866666667,7205.09833705158,0.2463215040672094,GPU,1534.358016000008,8,256,0.421412,0.421412,111.42669466666666,1982.8639390517185,0.8950541811675983,GPU,experiment2 direct simulation
