model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,simultaneous_peak_KV_GiB,output_tokens,batch,source_sha256
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,251.78034799526273,12.436412011370669,438.3265281658227,24.758949279785156,16,2,e288a100fc5167c0abaefa9ae67fe0c42114d1b69cbca8a3dd9989c4a3d03b43
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F0,5431.020083289967,22.309280740075526,5765.659294391099,12.090301513671875,16,1,334f46b4c451755b85996a3ea82c80f69a28c3a15fc678e73589138dac2ec8a2
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F1,101.27106002022178,22.309280740075526,435.91027112135464,24.108123779296875,16,1,334f46b4c451755b85996a3ea82c80f69a28c3a15fc678e73589138dac2ec8a2
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F2,104.44733790463377,10.847731644114834,267.16331256635624,24.398651123046875,16,1,334f46b4c451755b85996a3ea82c80f69a28c3a15fc678e73589138dac2ec8a2
GPT-13B,KVChime-LongMemEval-oracle-d851d5ba,F4,56.316449117044264,10.873601900114835,219.42047761876677,12.139148712158203,16,1,334f46b4c451755b85996a3ea82c80f69a28c3a15fc678e73589138dac2ec8a2
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,3202.3414015047993,29.754365085654655,3648.656877789619,19.63134765625,16,1,567f00dc2138be9cf995deb2dc77b5b809fd0ef8b771df1b0ce0a57d1a8ed5af
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,61.408254417454806,29.754365085654655,507.7237307022747,39.22607421875,16,1,567f00dc2138be9cf995deb2dc77b5b809fd0ef8b771df1b0ce0a57d1a8ed5af
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,61.408254417454806,18.114058082135163,333.11912564948227,39.43438720703125,16,1,567f00dc2138be9cf995deb2dc77b5b809fd0ef8b771df1b0ce0a57d1a8ed5af
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,35.6148132445258,18.142885895468496,307.7581016765533,19.772979736328125,16,1,567f00dc2138be9cf995deb2dc77b5b809fd0ef8b771df1b0ce0a57d1a8ed5af
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,6929.042001915713,30.59106435050814,7387.907967173335,78.544921875,16,4,857e450ef43a5555f3075f26ad631dddcc287c87967f0bfa6a0c8fc6b116148e
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,140.14428533639608,30.59106435050814,599.0102505940183,98.232421875,16,4,857e450ef43a5555f3075f26ad631dddcc287c87967f0bfa6a0c8fc6b116148e
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,186.05126898530807,19.00694109651441,471.1553854330242,99.06591796875,16,4,857e450ef43a5555f3075f26ad631dddcc287c87967f0bfa6a0c8fc6b116148e
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,108.7851678826191,19.36320601384774,399.2332580903352,20.4200439453125,16,4,857e450ef43a5555f3075f26ad631dddcc287c87967f0bfa6a0c8fc6b116148e
LLAMA-65B,KVChime-CB-musique-0075,F0,3213.04561225016,29.855284361240805,4138.559427448625,19.80712890625,32,1,db23b2cd126c8f2f80e83b5173a65152bdff3c3239694ff70f9d9d49df12edcc
LLAMA-65B,KVChime-CB-musique-0075,F1,592.823287268562,29.855284361240805,1518.337102467027,39.53857421875,32,1,db23b2cd126c8f2f80e83b5173a65152bdff3c3239694ff70f9d9d49df12edcc
