model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,energy_prefill_nj,energy_decode_nj,prefill_time_s,decode_time_s,power_prefill_w,power_decode_w,power_overall_w,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
GPT-13B,D-hi,8,wl_D4.json,64,A5,34.38176565102123,18741406115261.438,43633942624.0,21793216.0,recompute,master-diff,pim,pim,2397644236243.6255,16342853596779.484,907586006.5962886,695396.2303360826,658.7031000050299,15.71055481186749,0.00011122524529179585,18.462209580920042,0.03050839842470871,338560.0,1139520.0,1,63,7740075296277.64,11001330820208.672,13.31858877341425,21.063176877606985,581.1483054216602,522.3015922115993,545.0972560713957,64,4,24576.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,21793216.0
GPT-13B,D-hi,8,wl_D4.json,64,A6,34.38176565102123,18741406115261.438,43633942624.0,21793216.0,recompute,master-diff,pim,dynamic,2397644236243.6255,16342853596779.484,907586006.5962886,695396.2303360826,658.7031000050299,15.71055481186749,0.00011122524529179585,18.462209580920042,0.03050839842470871,338560.0,1139520.0,1,63,7740075296277.64,11001330820208.672,13.31858877341425,21.063176877606985,581.1483054216602,522.3015922115993,545.0972560713957,64,4,24576.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,21793216.0
GPT-13B,D-lo,8,wl_D1.json,16,A1,23.392380071214436,24367157645358.176,115146752000.0,4351360.0,no-reuse-physical,private,pim,gpu,2079820602650.871,22284941937935.12,2395052441.5307093,52095.87712012935,,11.021092730252343,7.9241427005838725,4.061036584827501,0.0022855484486762234,5416960.0,0.0,16,0,18723733177892.94,5643424464479.977,16.230668021922472,7.161712049291964,1153.6021285509094,787.999353455981,1041.670730860912,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4351360.0
GPT-13B,D-lo,8,wl_D1.json,16,A2,80.85760113292208,1895148471890.6829,14472970240000.0,17624.0,recompute,none,gpu,gpu,1594110690898.7522,,301037780991.97614,,,32.614366999591596,,0.0,0.0,348160.0,0.0,16,0,471523924718.38403,1423624547172.352,80.85760113292208,0.0,5.831534922032182,,23.438099143891765,16,1,0.0,,,,,,dag,supervisor,,
GPT-13B,D-lo,8,wl_D1.json,16,A3,8.917605916483495,5802130652607.298,59726233600.0,2293640.0,recompute,naive,pim,gpu,628762749609.9059,5172125577005.441,1242305658.9278014,20187.709439970782,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.950129243569841,0.0008856744630120427,348160.0,0.0,16,0,162136825203.14612,5639993827298.529,1.8722822523303029,7.045323664153193,86.59849496588743,800.5301241155148,650.6377055620404,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2293640.0
GPT-13B,D-lo,8,wl_D1.json,16,A3a,8.917605916483495,5802130652607.298,59726233600.0,2293640.0,recompute,naive-mask,pim,gpu,628762749609.9059,5172125577005.441,1242305658.9278014,20187.709439970782,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.950129243569841,0.0008856744630120427,348160.0,0.0,16,0,162136825203.14612,5639993827298.529,1.8722822523303029,7.045323664153193,86.59849496588743,800.5301241155148,650.6377055620404,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2293640.0
GPT-13B,D-lo,8,wl_D1.json,16,A3b,8.771343485684527,5806166568127.251,59726233600.0,2599560.0,recompute,naive,pim,gpu,628762749609.9059,5176161451647.272,1242305658.9278014,61080.84223980898,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.8020727507832244,0.002679736515483591,348160.0,0.0,16,0,162136825203.14612,5644029742823.813,1.8722822523303029,6.8990612333542245,86.59849496588743,818.0866282991037,661.9472350619194,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2599560.0
GPT-13B,D-lo,8,wl_D1.json,16,A4,8.846852789409345,5805594794819.019,59726233600.0,2549000.0,recompute,master-diff,pim,gpu,628762749609.9059,5175589684146.71,1242305658.9278014,55287.45984005061,22.165199999965505,4.7642021468525115,2.7806311323341487e-05,3.8800015614622927,0.002425569451052626,348160.0,0.0,16,0,162136825203.14612,5643457969484.717,1.8654178009413453,6.981434988468,86.91716414485111,808.3521480622013,656.2327793866937,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2549000.0
GPT-13B,D-lo,8,wl_D1.json,16,A4b,8.80458324186206,5805880681456.628,59726233600.0,2569480.0,recompute,master-diff,pim,gpu,628762749609.9059,5175875567896.99,1242305658.9278014,58184.15103999598,22.165199999965505,4.7642021468525115,2.7806311323341487e-05,3.837604930428536,0.002552652983278006,348160.0,0.0,16,0,162136825203.14612,5643743856132.613,1.8654178009413453,6.939165440920715,86.91716414485111,813.3173800484832,659.4157295091637,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2569480.0
GPT-13B,D-lo,8,wl_D1.json,16,A5,5.696915210830747,1473940289479.0273,7870873600.0,2605480.0,recompute,master-diff,pim,pim,624137539049.4017,849638975353.2681,163714170.88060445,60897.187839994906,22.558199999964618,4.640816687917627,2.7806311323341487e-05,1.0260348819878338,0.002671679236261006,338560.0,9600.0,1,15,195601192984.85147,1278339096495.9421,1.620089333320563,4.076825877510184,120.73481934724174,313.5623484799539,258.726035921481,16,1,0.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2605480.0
GPT-13B,D-lo,8,wl_D1.json,16,A6,5.696915210830747,1473940289479.0273,7870873600.0,2605480.0,recompute,master-diff,pim,dynamic,624137539049.4017,849638975353.2681,163714170.88060445,60897.187839994906,22.558199999964618,4.640816687917627,2.7806311323341487e-05,1.0260348819878338,0.002671679236261006,338560.0,9600.0,1,15,195601192984.85147,1278339096495.9421,1.620089333320563,4.076825877510184,120.73481934724174,313.5623484799539,258.726035921481,16,1,0.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2605480.0
GPT-13B,N-hi,8,wl_N64.json,128,A2,1236.2047411898563,25149216805246.824,226164421427200.0,141272.0,recompute,none,gpu,gpu,20444996839567.5,,4704219965687.0625,,,482.3233364320615,,0.0,0.0,2376000.0,0.0,128,0,6470294267969.124,18678922537284.492,1236.2047411898563,0.0,5.233998910036065,,20.34389285794238,128,2,16384.0,,,,,,dag,supervisor,,
GPT-13B,N-lo,8,wl_N4.json,8,A1,13.948185698098118,13527422476412.965,60089958400.0,2298560.0,no-reuse-physical,private,pim,gpu,1286400652662.034,12239771926483.42,1249871134.734156,26047.938559958813,,7.145529809280547,4.449741719328207,2.151471534077225,0.0011427742243420478,2831360.0,0.0,8,0,10343213191135.252,3184209285202.5684,8.783756375670439,5.164429322427679,1177.5387145053626,616.5655654099928,969.8338385513088,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2298560.0
GPT-13B,N-lo,8,wl_N4.json,8,A2,45.3148924343482,1308842067804.597,7667659571200.0,9048.0,recompute,none,gpu,gpu,1149354748723.6143,,159487319080.95224,,,19.75602719701554,,0.0,0.0,427200.0,0.0,8,0,357885374287.4626,950956693517.1074,45.3148924343482,0.0,7.897742994887688,,28.8832654673259,8,2,1024.0,,,,,,dag,supervisor,,
GPT-13B,N-lo,8,wl_N4.json,8,A3,7.418252661272427,3439020121380.4517,31970103816.0,1302768.0,recompute,naive,pim,gpu,633449771267.1819,2804905358135.2485,664978159.3747325,10094.011663974325,3703.791999999031,4.9542775275554645,1.390315566161197e-05,2.1717617737265043,0.0004428441169467272,427200.0,0.0,8,0,189509433695.4021,3249510687658.9614,2.0529432712220252,5.365309390050402,92.31109127657268,605.6520605661542,463.58897147493064,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,1302768.0
GPT-13B,N-lo,8,wl_N4.json,8,A3a,7.2446199444873765,3447916142203.4556,31970103816.0,1302768.0,recompute,naive-mask,pim,gpu,633449771267.1819,2813801382544.4185,664978159.3747325,10094.011663974325,117.74399999996092,4.9542775275554645,1.390315566161197e-05,2.177431456918277,0.0004428441169467272,427200.0,0.0,8,0,189509433695.4021,3258406708484.4434,2.0529432712220252,5.191676673265351,92.31109127657268,627.6212702658618,475.92781520955646,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,1302768.0
GPT-13B,N-lo,8,wl_N4.json,8,A3b,7.378983378023689,3442030306892.563,31970103816.0,2167728.0,recompute,naive,pim,gpu,633449771267.1819,2807915513126.561,664978159.3747325,40594.13326394386,3703.791999999031,4.9542775275554645,1.390315566161197e-05,2.131154390397394,0.00178094435560427,427200.0,0.0,8,0,189509433695.4021,3252520873132.6553,2.0529432712220252,5.326040106801663,92.31109127657268,610.6827601577759,466.46402770654316,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2167728.0
