model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,broadcast,8,A1,1,2.7657206630856437,26.57514896605693,23.809428302971284,16,19.292483674470475,19.320903901765575,16.52676301138483,7.282665291586454
GPT-13B,broadcast,8,A2,0,0.0,7.811332876761604,7.811332876761604,1,7.811332876761604,1.600997293635773,7.811332876761604,0.0
GPT-13B,broadcast,8,A2,1,7.811332876761604,89.41042749887991,81.59909462211832,16,89.41042749887991,0.0,81.59909462211832,0.0
GPT-13B,broadcast,8,A3,0,0.0,3.2532911186289266,3.2532911186289266,1,1.4773064012186021,1.4842420918717933,1.4773064012186021,1.7759847174103245
GPT-13B,broadcast,8,A3,1,3.2532911186289266,11.051274684312386,7.7979835656834595,16,3.7090745863302996,3.737633749564131,0.455783467701373,7.3422000979820865
GPT-13B,broadcast,8,A3a,0,0.0,3.2532911186289266,3.2532911186289266,1,1.4773064012186021,1.4842420918717933,1.4773064012186021,1.7759847174103245
GPT-13B,broadcast,8,A3a,1,3.2532911186289266,10.994639957973835,7.741348839344909,16,3.7090745863302996,3.7375029545640914,0.455783467701373,7.285565371643536
GPT-13B,broadcast,8,A3b,0,0.0,3.2294442139863704,3.2294442139863704,1,1.4773064012186021,1.4841489543193762,1.4773064012186021,1.7521378127677683
GPT-13B,broadcast,8,A3b,1,3.2294442139863704,10.876760374898112,7.647316160911741,16,3.6852276816877434,3.713201743362052,0.455783467701373,7.191532693210368
GPT-13B,broadcast,8,A4,0,0.0,3.228741789807274,3.228741789807274,1,1.476877373006798,1.483718863135025,1.476877373006798,1.751864416800476
GPT-13B,broadcast,8,A4,1,3.228741789807274,10.894522146240137,7.665780356432863,16,3.6774596738031216,3.705624442057213,0.44871788399584744,7.217062472437015
GPT-13B,broadcast,8,A4b,0,0.0,3.2285213702895197,3.2285213702895197,1,1.476877373006798,1.4837180021213026,1.476877373006798,1.7516439972827216
GPT-13B,broadcast,8,A4b,1,3.2285213702895197,10.852032179220863,7.623510808931344,16,3.677239254285367,3.7052389071196328,0.44871788399584744,7.174792924935496
GPT-13B,broadcast,8,A5,0,0.0,3.2285213702895197,3.2285213702895197,1,1.476877373006798,1.4837180021213026,1.476877373006798,1.7516439972827216
GPT-13B,broadcast,8,A5,1,3.2285213702895197,7.7374261063694885,4.508904736079969,16,3.4249727448984415,3.441791383812542,0.1964513746089218,4.3124533614710465
GPT-13B,broadcast,8,A6,0,0.0,3.2285213702895197,3.2285213702895197,1,1.476877373006798,1.4837180021213026,1.476877373006798,1.7516439972827216
GPT-13B,broadcast,8,A6,1,3.2285213702895197,7.7374261063694885,4.508904736079969,16,3.4249727448984415,3.441791383812542,0.1964513746089218,4.3124533614710465
