model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-13B,k-lo,2,A4,1,8.847511079383152,19.50853175585121,10.661020676468057,16
GPT-13B,k-lo,2,A4b,0,0.0,8.805241531835525,8.805241531835525,16
GPT-13B,k-lo,2,A4b,1,8.805241531835525,19.52715048751105,10.721908955675525,16
GPT-13B,k-lo,2,A5,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,k-lo,2,A5,1,5.6975789508081105,13.37080930700183,7.673230356193719,16
GPT-13B,k-lo,2,A6,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,k-lo,2,A6,1,5.6975789508081105,13.37080930700183,7.673230356193719,16
GPT-13B,pipeline,8,A1,0,0.0,2.766064816731635,2.766064816731635,1
GPT-13B,pipeline,8,A1,1,2.766064816731635,5.558047326612695,2.7919825098810604,1
GPT-13B,pipeline,8,A1,2,5.558047326612695,8.372564572480812,2.8145172458681165,1
GPT-13B,pipeline,8,A1,3,8.372564572480812,11.214326496266922,2.8417619237861107,1
GPT-13B,pipeline,8,A2,0,0.0,7.811332876761604,7.811332876761604,1
GPT-13B,pipeline,8,A2,1,7.811332876761604,14.214891320266425,6.403558443504821,1
GPT-13B,pipeline,8,A2,2,14.214891320266425,20.760221701884188,6.545330381617763,1
GPT-13B,pipeline,8,A2,3,20.760221701884188,27.447324021614957,6.687102319730769,1
GPT-13B,pipeline,8,A3,0,0.0,3.2532821636288842,3.2532821636288842,1
GPT-13B,pipeline,8,A3,1,3.2532821636288842,5.072936608178146,1.8196544445492622,1
GPT-13B,pipeline,8,A3,2,5.072936608178146,6.900850313651218,1.8279137054730716,1
GPT-13B,pipeline,8,A3,3,6.900850313651218,8.736972080029085,1.8361217663778673,1
GPT-13B,pipeline,8,A3a,0,0.0,3.2532821636288842,3.2532821636288842,1
GPT-13B,pipeline,8,A3a,1,3.2532821636288842,5.072765213618966,1.8194830499900814,1
GPT-13B,pipeline,8,A3a,2,5.072765213618966,6.900507524534682,1.827742310915716,1
GPT-13B,pipeline,8,A3a,3,6.900507524534682,8.736509096352023,1.8360015718173415,1
GPT-13B,pipeline,8,A3b,0,0.0,3.229435258986328,3.229435258986328,1
GPT-13B,pipeline,8,A3b,1,3.229435258986328,5.025181771067886,1.7957465120815579,1
GPT-13B,pipeline,8,A3b,2,5.025181771067886,6.829124547594489,1.8039427765266032,1
GPT-13B,pipeline,8,A3b,3,6.829124547594489,8.64121238851522,1.8120878409207304,1
GPT-13B,pipeline,8,A4,0,0.0,3.2287430698072663,3.2287430698072663,1
GPT-13B,pipeline,8,A4,1,3.2287430698072663,5.023661310553934,1.794918240746668,1
GPT-13B,pipeline,8,A4,2,5.023661310553934,6.826916439464142,1.803255128910208,1
GPT-13B,pipeline,8,A4,3,6.826916439464142,8.638304936534922,1.81138849707078,1
GPT-13B,pipeline,8,A4b,0,0.0,3.228522650289512,3.228522650289512,1
GPT-13B,pipeline,8,A4b,1,3.228522650289512,5.0232204715356685,1.7946978212461566,1
GPT-13B,pipeline,8,A4b,2,5.0232204715356685,6.826255180938661,1.8030347094029926,1
GPT-13B,pipeline,8,A4b,3,6.826255180938661,8.637423258481856,1.8111680775431953,1
GPT-13B,pipeline,8,A5,0,0.0,3.228522650289512,3.228522650289512,1
GPT-13B,pipeline,8,A5,1,3.228522650289512,5.007453828761168,1.7789311784716562,1
GPT-13B,pipeline,8,A5,2,5.007453828761168,6.794238035713622,1.7867842069524542,1
GPT-13B,pipeline,8,A5,3,6.794238035713622,8.588669366130341,1.7944313304167192,1
GPT-13B,pipeline,8,A6,0,0.0,3.228522650289512,3.228522650289512,1
GPT-13B,pipeline,8,A6,1,3.228522650289512,5.007453828761168,1.7789311784716562,1
GPT-13B,pipeline,8,A6,2,5.007453828761168,6.794238035713622,1.7867842069524542,1
GPT-13B,pipeline,8,A6,3,6.794238035713622,8.588669366130341,1.7944313304167192,1
GPT-13B,private,8,A1,0,0.0,23.390383491906423,23.390383491906423,16
GPT-13B,private,8,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16
GPT-13B,private,8,A2,0,0.0,103.29219089900754,103.29219089900754,16
GPT-13B,private,8,A2,1,103.29219089900754,252.11954795558526,148.82735705657774,16
GPT-13B,private,8,A3,0,0.0,31.94342173697582,31.94342173697582,16
GPT-13B,private,8,A3,1,31.94342173697582,75.68484098935153,43.74141925237571,16
GPT-13B,private,8,A3a,0,0.0,31.94342173697582,31.94342173697582,16
GPT-13B,private,8,A3a,1,31.94342173697582,75.53449036581117,43.591068628835345,16
GPT-13B,private,8,A3b,0,0.0,31.56287920559184,31.56287920559184,16
GPT-13B,private,8,A3b,1,31.56287920559184,74.84163968078111,43.27876047518927,16
GPT-13B,private,8,A4,0,0.0,31.551755541826275,31.551755541826275,16
GPT-13B,private,8,A4,1,31.551755541826275,74.65208358313609,43.100328041309815,16
GPT-13B,private,8,A4b,0,0.0,31.548228828127172,31.548228828127172,16
GPT-13B,private,8,A4b,1,31.548228828127172,74.64496824985324,43.09673942172606,16
GPT-13B,private,8,A5,0,0.0,42.34280514661553,42.34280514661553,16
