model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,TBT_energy_mJ,-0.1672494034122174
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,E2E_energy_mJ,0.34570306057984945
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,simultaneous_peak_KV_GiB,48.07888564453593
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,TTFT_ms,20.360648195323392
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,TBT_ms,-4.440892098500626e-14
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,E2E_ms,6.874953598043099
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,TTFT_energy_mJ,10.14286663227274
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,TBT_energy_mJ,6.328271240363392e-13
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,E2E_energy_mJ,2.6644200860886147
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F3,F4,simultaneous_peak_KV_GiB,2.7856961105723
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,TTFT_ms,97.06761503476298
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,TBT_ms,43.957821810863976
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,E2E_ms,91.0043149063814
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,TTFT_energy_mJ,97.22944196856103
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,TBT_energy_mJ,20.914479956259967
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,E2E_energy_mJ,89.70217735028598
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F4,simultaneous_peak_KV_GiB,-2.3357919254658466
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,TTFT_ms,95.81306826346244
