model,GPUs,gqa_size,q,cached,n,fixed_GPU_us,fixed_PIM_us,algorithm_us,oracle_us,algorithm_choice,oracle_choice,estimated_PIM_us,regret_percent
LLAMA3.1-8B,1,4,512,0,512,272.046582384691,423.8708794287964,272.046582384691,272.046582384691,GPU,GPU,373.11124009546535,0.0
LLAMA3.1-8B,1,4,768,0,768,612.1048103655548,855.5393642148,612.1048103655548,612.1048103655548,GPU,GPU,821.062018214797,0.0
LLAMA3.1-8B,1,4,1024,0,1024,1088.186329538764,1444.2620930485175,1088.186329538764,1088.186329538764,GPU,GPU,1443.2762350485282,0.0
LLAMA3.1-8B,1,4,8,1024,1032,40.88958556413496,13.559475812251392,13.559475812251392,13.559475812251392,PIM,PIM,11.27865047891806,0.0
LLAMA3.1-8B,1,4,32,1024,1056,62.57752603865413,54.569857960222755,54.569857960222755,54.569857960222755,PIM,PIM,45.81580479355608,0.0
LLAMA3.1-8B,1,4,64,1024,1088,92.85330871449297,110.41865648369127,92.85330871449297,92.85330871449297,GPU,GPU,94.35447581702466,0.0
LLAMA3.1-8B,1,4,128,1024,1152,167.00721592472203,226.31957788703284,167.00721592472203,167.00721592472203,GPU,GPU,199.6004165536993,0.0
LLAMA3.1-8B,1,4,256,1024,1280,354.0392413141971,477.43628878599884,354.0392413141971,354.0392413141971,GPU,GPU,442.76669278599843,0.0
LLAMA3.1-8B,1,4,512,1024,1536,830.1207604874064,1192.8410016197258,830.1207604874064,830.1207604874064,GPU,GPU,1059.796824286396,0.0
LLAMA3.1-8B,1,4,768,1024,1792,1442.2255708529613,2021.3992865011808,1442.2255708529613,1442.2255708529613,GPU,GPU,1851.0903945011933,0.0
LLAMA3.1-8B,1,4,1024,1024,2048,2190.3536724108617,2857.3951754304026,2190.3536724108617,2190.3536724108617,GPU,GPU,2816.6474034303897,0.0
LLAMA3.1-8B,1,4,8,4096,4104,161.08387924937995,46.91366657120127,46.91366657120127,46.91366657120127,PIM,PIM,43.95304523786793,0.0
LLAMA3.1-8B,1,4,32,4096,4128,238.66557235621696,187.9866209960223,187.9866209960223,187.9866209960223,PIM,PIM,176.5133838293556,0.0
LLAMA3.1-8B,1,4,64,4096,4160,343.4663585418129,377.25218255529023,343.4663585418129,343.4663585418129,GPU,GPU,355.7496338886237,0.0
LLAMA3.1-8B,1,4,128,4096,4224,617.0201295017584,759.4232633635646,617.0201295017584,617.0201295017584,GPU,GPU,722.3907326968972,0.0
LLAMA3.1-8B,1,4,256,4096,4352,1212.1220284682702,1542.6562637390564,1212.1220284682702,1212.1220284682702,GPU,GPU,1488.3473250723944,0.0
LLAMA3.1-8B,1,4,512,4096,4608,2504.3432947955525,3329.350196192511,2504.3432947955525,2504.3432947955525,GPU,GPU,3150.958088859188,0.0
LLAMA3.1-8B,1,4,768,4096,4864,3932.58785231518,5150.532697360367,3932.58785231518,3932.58785231518,GPU,GPU,4987.832291360381,0.0
LLAMA3.1-8B,1,4,1024,4096,5120,5496.855701027153,7247.872162575953,5496.855701027153,5496.855701027153,GPU,GPU,6998.969932575974,0.0
