device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,score,MATMUL,106,4028,128,32,72.48417801488138,0.0031003052313599995,1757425049.6,161448345.6,610729328.64,11067010.56,559635496.96,0
GPU,softmax,SOFTMAX,106,4028,1,32,64.73753193878984,0.0017853410739199999,1569602682.8799999,131164569.6,69954437.12,3689003.52,10930380.8,0
GPU,context,MATMUL,106,128,4028,32,72.48417801488138,0.0030515733171199997,1757425049.6,146860032.0,576585728.0,11067010.56,559635496.96,0
PIM,score,MATMUL,106,4028,128,32,142.56260299999994,0.00510181431296,4542178816.0,0,0,0,559635496.96,0
PIM,softmax,SOFTMAX,106,4028,1,32,20.38033412887828,1.1116197273600001e-05,185816.4736,0,0,0,10930380.8,0
GPU,comm_x2g,X2G,3922,8192,1,1,214.19349333333332,0.0006682836992000001,0,0,0,0,0,668283699.2
GPU,comm_x2g,X2G,106,8192,1,1,5.789013333333334,1.80617216e-05,0,0,0,0,0,18061721.6
GPU,comm_x2g,X2G,4028,8192,1,1,219.98250666666667,0.0006863454208000001,0,0,0,0,0,686345420.8000001
GPU,comm_x2g,X2G,106,4096,1,1,2.894506666666667,9.0308608e-06,0,0,0,0,0,9030860.8
GPU,qkv,FC,778,12288,4096,1,352.98697846153846,0.03843311796224,3623223296.0,1746468864.0,12603359232.0,7929499484.160001,12530567086.08,0
GPU,proj,FC,778,4096,4096,1,117.66232615384615,0.01309727522816,1329770004.48,746363289.6,4201119744.0,2643166494.7200003,4176855695.36,0
GPU,comm_g2g,G2G,778,4096,1,1,0.0,6.62831104e-05,0,0,0,0,0,66283110.400000006
GPU,norm1,NORM,778,4096,1,1,21.061789517899758,0.00062333210624,549130076.16,45888307.199999996,24473763.84,1290608.6400000001,2549350.4,0
GPU,ff1,FC,778,10922.666666666666,4096,1,280.20051623613597,0.03440567604565333,3240981080.7466664,1772263833.6,11205705291.093332,7048443985.92,11138281854.293333,0
GPU,ff2,FC,778,10922.666666666666,4096,1,280.20051623613597,0.03440567604565333,3240981080.7466664,1772263833.6,11205705291.093332,7048443985.92,11138281854.293333,0
GPU,glu,ACT,778,10922.666666666666,1,1,33.09252923076924,0.00166765756416,1464346869.76,122368819.19999999,65263370.24,3441623.04,12236881.92,0
GPU,ff3,FC,778,4096,10922.666666666666,1,313.76620307692303,0.03458190497109333,3240981080.7466664,1964808601.6,11189389448.533333,7048443985.92,11138281854.293333,0
GPU,norm2,NORM,778,4096,1,1,21.061789517899758,0.00062333210624,549130076.16,45888307.199999996,24473763.84,1290608.6400000001,2549350.4,0
GPU,score,MATMUL,778,778,128,32,67.04684307692308,0.0033520955302399997,1478647132.1599998,215340441.6,849061150.72,15688961.280000001,793357844.48,0
GPU,softmax,SOFTMAX,778,778,1,32,91.77407272216763,0.0025309587289600003,2225120829.44,185943244.79999998,99169730.56,5229653.760000001,15495270.4,0
GPU,context,MATMUL,778,128,778,32,67.04684307692308,0.00323112885376,1478647132.1599998,138859929.6,804574986.24,15688961.280000001,793357844.48,0
GPU,comm_x2g,X2G,778,8192,1,1,42.48917333333333,0.0001325662208,0,0,0,0,0,132566220.80000001
GPU,qkv,FC,776,12288,4096,1,352.07955692307695,0.038360464752639996,3621341102.08,1744463462.3999999,12587190190.08,7909115166.72,12498354831.36,0
GPU,proj,FC,776,4096,4096,1,117.35985230769232,0.01307211464704,1328828907.52,745065676.8,4195730063.36,2636371722.2400002,4166118277.12,0
GPU,comm_g2g,G2G,776,4096,1,1,0.0,6.61127168e-05,0,0,0,0,0,66112716.800000004
GPU,norm1,NORM,776,4096,1,1,21.025306768496414,0.0006217297100799999,547718430.72,45770342.4,24410849.28,1287290.8800000001,2542796.8000000003,0
GPU,ff1,FC,776,10922.666666666666,4096,1,279.48020642576023,0.03434102303402666,3239255736.3199997,1770468147.1999998,11191325818.879997,7030324592.639999,11109648738.986666,0
GPU,ff2,FC,776,10922.666666666666,4096,1,279.48020642576023,0.03434102303402666,3239255736.3199997,1770468147.1999998,11191325818.879997,7030324592.639999,11109648738.986666,0
GPU,glu,ACT,776,10922.666666666666,1,1,33.00745846153846,0.0016633705267199998,1460582481.9199998,122054246.39999998,65095598.07999999,3432775.6799999997,12205424.64,0
GPU,ff3,FC,776,4096,10922.666666666666,1,312.9596061538461,0.034515694824106664,3239255736.3199997,1961413836.7999997,11175051919.36,7030324592.639999,11109648738.986666,0
GPU,norm2,NORM,776,4096,1,1,21.025306768496414,0.0006217297100799999,547718430.72,45770342.4,24410849.28,1287290.8800000001,2542796.8000000003,0
GPU,score,MATMUL,776,776,128,32,66.70257230769231,0.0033381856256,1471993282.56,214548480.0,846751334.4,15608401.920000002,789284126.72,0
GPU,softmax,SOFTMAX,776,776,1,32,91.30283307595114,0.0025179628134399997,2213695324.16,184988467.2,98660515.84,5202800.640000001,15415705.6,0
GPU,context,MATMUL,776,128,776,32,66.70257230769231,0.0032166399385600004,1471993282.56,138264576.0,801489551.36,15608401.920000002,789284126.72,0
GPU,comm_x2g,X2G,776,8192,1,1,42.37994666666667,0.0001322254336,0,0,0,0,0,132225433.60000001
GPU,qkv,FC,775,12288,4096,1,351.62584615384617,0.03832413814784,3620400005.12,1743460761.6,12579105669.12,7898923008.000001,12482248704.0,0
GPU,proj,FC,775,4096,4096,1,117.2086153846154,0.01305953435648,1328358359.04,744416870.4,4193035223.04,2632974336.0,4160749568.0,0
GPU,comm_g2g,G2G,775,4096,1,1,0.0,6.602751999999999e-05,0,0,0,0,0,66027520.0
GPU,norm1,NORM,775,4096,1,1,21.007065393794747,0.000620928512,547012608.0,45711360.0,24379392.0,1285632.0,2539520.0,0
GPU,ff1,FC,775,10922.666666666666,4096,1,279.1200515205724,0.03430869652821333,3238393064.106666,1769570304.0,11184136082.773333,7021264896.0,11095332181.333332,0
GPU,ff2,FC,775,10922.666666666666,4096,1,279.1200515205724,0.03430869652821333,3238393064.106666,1769570304.0,11184136082.773333,7021264896.0,11095332181.333332,0
GPU,glu,ACT,775,10922.666666666666,1,1,32.964923076923085,0.001661227008,1458700288.0,121896960.0,65011712.0,3428352.0,12189696.0,0
GPU,ff3,FC,775,4096,10922.666666666666,1,312.5563076923077,0.03448258975061333,3238393064.106666,1959716454.3999999,11167883154.773333,7021264896.0,11095332181.333332,0
GPU,norm2,NORM,775,4096,1,1,21.007065393794747,0.000620928512,547012608.0,45711360.0,24379392.0,1285632.0,2539520.0,0
GPU,score,MATMUL,775,775,128,32,66.53076923076924,0.003331240904,1468671872.0,214152960.0,845596672.0,15568200.000000002,787251200.0,0
GPU,softmax,SOFTMAX,775,775,1,32,91.06766811736628,0.0025114774,2207993600.0,184512000.0,98406400.0,5189400.0,15376000.0,0
GPU,context,MATMUL,775,128,775,32,66.53076923076924,0.003209407432,1468671872.0,137967360.0,799948800.0,15568200.000000002,787251200.0,0
GPU,comm_x2g,X2G,775,8192,1,1,42.32533333333333,0.00013205503999999998,0,0,0,0,0,132055040.0
GPU,qkv,FC,253,12288,4096,1,114.78882461538461,0.0146236178432,3129147392.0,734035968.0,4106968104.96,2578616156.1600003,4074850222.08,0
GPU,proj,FC,253,4096,4096,1,41.74139076923077,0.005106072289280001,1082732052.48,436528742.4,1368989368.32,859538718.72,1358283407.3600001,0
GPU,comm_g2g,G2G,253,4096,1,1,0.0,2.15547904e-05,0,0,0,0,0,21554790.400000002
GPU,norm1,NORM,253,4096,1,1,11.485067799522673,0.00020270311424,178573148.16,14922547.2,7958691.84,419696.64,829030.4,0
GPU,ff1,FC,253,10922.666666666666,4096,1,113.89898876565294,0.013009585657173332,2788078168.7466664,655792537.5999999,3651522614.613333,2292103249.92,3622089086.293333,0
