case_id,variant,phase,layer,event,device,step,start_s,end_s,duration_s,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,glu,GPU,0,0.008338125894599804,0.00834897078154052,1.0844886940715989e-05,0.00040298151935999995
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,ff3,GPU,0,0.00834897078154052,0.008424790892309752,7.582011076923077e-05,0.010812210544639999
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,comm_g2g,GPU,0,0.008424790892309752,0.008424790892309752,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,norm2,GPU,0,0.008424790892309752,0.008435090270753665,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,qkv,GPU,0,0.008435090270753665,0.00852038789536905,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,6,attention_service,GPU,0,0.00852038789536905,0.009566599864812637,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,proj,GPU,0,0.009566599864812637,0.009595032406351098,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,comm_g2g,GPU,0,0.009595032406351098,0.009595032406351098,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,norm1,GPU,0,0.009595032406351098,0.009605331784795012,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,ff1,GPU,0,0.009605331784795012,0.00967465302892688,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,ff2,GPU,0,0.00967465302892688,0.009743974273058748,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,glu,GPU,0,0.009743974273058748,0.009754819159999465,1.0844886940715989e-05,0.00040298151935999995
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,ff3,GPU,0,0.009754819159999465,0.009830639270768696,7.582011076923077e-05,0.010812210544639999
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,comm_g2g,GPU,0,0.009830639270768696,0.009830639270768696,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,6,norm2,GPU,0,0.009830639270768696,0.00984093864921261,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,qkv,GPU,0,0.00984093864921261,0.009926236273827995,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,7,attention_service,GPU,0,0.009926236273827995,0.010972448243271581,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,proj,GPU,0,0.010972448243271581,0.011000880784810043,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,comm_g2g,GPU,0,0.011000880784810043,0.011000880784810043,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,norm1,GPU,0,0.011000880784810043,0.011011180163253956,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,ff1,GPU,0,0.011011180163253956,0.011080501407385824,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,ff2,GPU,0,0.011080501407385824,0.011149822651517692,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,glu,GPU,0,0.011149822651517692,0.011160667538458409,1.0844886940715989e-05,0.00040298151935999995
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,ff3,GPU,0,0.011160667538458409,0.01123648764922764,7.582011076923077e-05,0.010812210544639999
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,comm_g2g,GPU,0,0.01123648764922764,0.01123648764922764,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,7,norm2,GPU,0,0.01123648764922764,0.011246787027671554,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,8,qkv,GPU,0,0.011246787027671554,0.011332084652286939,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,8,attention_service,GPU,0,0.011332084652286939,0.012378296621730525,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,8,proj,GPU,0,0.012378296621730525,0.012406729163268987,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,8,comm_g2g,GPU,0,0.012406729163268987,0.012406729163268987,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,8,norm1,GPU,0,0.012406729163268987,0.0124170285417129,1.0299378443914082e-05,0.00015062523904
