model,GPUs,gqa_size,agents,nominal_shared_fraction,shared_document_tokens,mode,scan_us,TBT_ms,TBT_energy_mJ,mac_commands,represented_column_MACs,dram_read_bytes,profile
LLAMA-65B,4,1,4,0.5,2442,MQ,18.552125,19.468457744546235,4537.850133047978,9280,16768,95027200,shared-18ef57a928bd70a809e0
LLAMA-7B,1,1,1,1.0,4018,single_query,6.783349,5.654074517646556,436.83010950594553,7336,7336,75120640,shared-da665dbca68c592988a1
LLAMA-7B,1,1,1,1.0,4018,MQ,6.783349,5.654074517646556,436.83010950594553,7336,7336,75120640,shared-da665dbca68c592988a1
LLAMA-7B,1,1,2,1.0,4018,single_query,13.910441,5.9781379354982285,454.37745851269125,14672,14672,150241280,shared-9652f575c1ec328d0d23
LLAMA-7B,1,1,2,1.0,4018,MQ,8.606648000000002,5.8084165594982275,444.0830636326913,7532,14672,77127680,shared-3dee31c27c4d064e70e3
LLAMA-7B,1,1,4,1.0,4018,single_query,28.147707,6.625807428295856,487.8464442957823,29344,29344,300482560,shared-89b1f9f971741e7b2f34
LLAMA-7B,1,1,4,1.0,4018,MQ,10.390728000000001,6.057584100295856,456.96325965578234,7924,29344,81141760,shared-973753564846d8d99504
LLAMA-7B,1,1,8,1.0,4018,single_query,56.32156,7.8936373993619915,552.2124686491646,58688,58688,600965120,shared-bc02c06b018dbac1792e
LLAMA-7B,1,1,8,1.0,4018,MQ,15.023952999999999,6.572113975361992,480.1517044891647,8708,58688,89169920,shared-28e2c52270d6144ffe00
LLAMA-7B,1,1,4,0.0,0,single_query,28.147707,6.625807428295856,487.8464442957823,29344,29344,300482560,shared-4d6e3000ca83b2ff00b3
LLAMA-7B,1,1,4,0.0,0,MQ,28.172315,6.626594884295856,487.8464442957823,29344,29344,300482560,shared-61e25d10362925c2d331
LLAMA-7B,1,1,4,0.5,2442,single_query,28.147707,6.625807428295856,487.8464442957823,29344,29344,300482560,shared-637fe5ea2016de81350c
LLAMA-7B,1,1,4,0.5,2442,MQ,18.552125,6.318748804295856,468.95320192778235,16240,29344,166297600,shared-adfa4b7dc425b22cf60b
LLAMA3.1-8B,1,4,1,1.0,4018,single_query,28.147707,6.749700534041315,473.42802089410554,8384,8384,85852160,shared-5c3121f4bd8288ebb981
LLAMA3.1-8B,1,4,1,1.0,4018,MQ,9.867808,6.164743766041315,464.3620327981056,2096,8384,21463040,shared-9d4ce148cad9738c4bd5
LLAMA3.1-8B,1,4,2,1.0,4018,single_query,56.32156,7.667957498611341,494.5959855194111,16768,16768,171704320,shared-a0b88f7619bd6cfbb7d3
LLAMA3.1-8B,1,4,2,1.0,4018,MQ,14.192664,6.319832826611341,473.52275364741115,2152,16768,22036480,shared-c02e575351bcb3daf734
LLAMA3.1-8B,1,4,4,1.0,4018,single_query,112.68772200000001,9.664248314450655,532.4221991092224,33536,33536,343408640,shared-0ec2083e7c8b2bcc8c53
LLAMA3.1-8B,1,4,4,1.0,4018,MQ,28.648326,6.974987642450655,490.2757353652224,4304,33536,44072960,shared-63ca4849c949993b0bb7
LLAMA3.1-8B,1,4,8,1.0,4018,single_query,225.48925599999998,13.340871697275873,612.5843419496448,67072,67072,686817280,shared-23b90abd399587ad44c2
LLAMA3.1-8B,1,4,8,1.0,4018,MQ,57.269737,7.957847089275871,528.2914144616449,8608,67072,88145920,shared-8360ff238760785fd963
LLAMA3.1-8B,1,4,4,0.0,0,single_query,112.68772200000001,9.664248314450655,532.4221991092224,33536,33536,343408640,shared-bde8a8c1884cc1e65d47
LLAMA3.1-8B,1,4,4,0.0,0,MQ,40.045675,7.339702810450654,496.1582467252224,8384,33536,85852160,shared-1640a7be2afd7b4a702a
LLAMA3.1-8B,1,4,4,0.5,2442,single_query,112.68772200000001,9.664248314450655,532.4221991092224,33536,33536,343408640,shared-b35def38f0cb212416f2
LLAMA3.1-8B,1,4,4,0.5,2442,MQ,33.976727,7.145496474450654,492.5595338932224,5888,33536,60293120,shared-95e2dba58d9b42c5c23e
