sample,frequency_ghz,effective_query_MAC_per_ns,compute_query_MAC_per_ns,power_query_MAC_per_ns
216,1.0646944083224967,1.0403120936280885,1.0403120936280883,1.3003901170351104
217,1.0684872128305158,1.0403120936280885,1.0403120936280883,1.3003901170351104
218,1.072280017338535,1.0403120936280885,1.0403120936280883,1.3003901170351104
219,1.076072821846554,1.0403120936280885,1.0403120936280883,1.3003901170351104
220,1.079865626354573,1.0403120936280885,1.0403120936280883,1.3003901170351104
221,1.083658430862592,1.0403120936280885,1.0403120936280883,1.3003901170351104
222,1.0874512353706112,1.0403120936280885,1.0403120936280883,1.3003901170351104
223,1.0912440398786303,1.0403120936280885,1.0403120936280883,1.3003901170351104
224,1.0950368443866494,1.0403120936280885,1.0403120936280883,1.3003901170351104
225,1.0988296488946685,1.0403120936280885,1.0403120936280883,1.3003901170351104
226,1.1026224534026874,1.0403120936280885,1.0403120936280883,1.3003901170351104
227,1.1064152579107065,1.0403120936280885,1.0403120936280883,1.3003901170351104
228,1.1102080624187256,1.0403120936280885,1.0403120936280883,1.3003901170351104
229,1.1140008669267447,1.0403120936280885,1.0403120936280883,1.3003901170351104
230,1.1177936714347638,1.0403120936280885,1.0403120936280883,1.3003901170351104
231,1.121586475942783,1.0403120936280885,1.0403120936280883,1.3003901170351104
232,1.1253792804508018,1.0403120936280885,1.0403120936280883,1.3003901170351104
233,1.129172084958821,1.0403120936280885,1.0403120936280883,1.3003901170351104
234,1.13296488946684,1.0403120936280885,1.0403120936280883,1.3003901170351104
235,1.1367576939748592,1.0403120936280885,1.0403120936280883,1.3003901170351104
236,1.1405504984828783,1.0403120936280885,1.0403120936280883,1.3003901170351104
237,1.1443433029908974,1.0403120936280885,1.0403120936280883,1.3003901170351104
238,1.1481361074989163,1.0403120936280885,1.0403120936280883,1.3003901170351104
239,1.1519289120069354,1.0403120936280885,1.0403120936280883,1.3003901170351104
240,1.1557217165149545,1.0403120936280885,1.0403120936280883,1.3003901170351104
241,1.1559023262534316,1.1559023262534316,1.1559023262534316,1.3003901170351104
242,1.1595145210229736,1.1559023262534316,1.1559023262534316,1.3003901170351104
243,1.1633073255309927,1.1559023262534316,1.1559023262534316,1.3003901170351104
244,1.1671001300390118,1.1559023262534316,1.1559023262534316,1.3003901170351104
245,1.1708929345470307,1.1559023262534316,1.1559023262534316,1.3003901170351104
246,1.1746857390550498,1.1559023262534316,1.1559023262534316,1.3003901170351104
247,1.178478543563069,1.1559023262534316,1.1559023262534316,1.3003901170351104
248,1.182271348071088,1.1559023262534316,1.1559023262534316,1.3003901170351104
249,1.1860641525791071,1.1559023262534316,1.1559023262534316,1.3003901170351104
250,1.1898569570871262,1.1559023262534316,1.1559023262534316,1.3003901170351104
251,1.1936497615951451,1.1559023262534316,1.1559023262534316,1.3003901170351104
252,1.1974425661031642,1.1559023262534316,1.1559023262534316,1.3003901170351104
253,1.2012353706111834,1.1559023262534316,1.1559023262534316,1.3003901170351104
254,1.2050281751192025,1.1559023262534316,1.1559023262534316,1.3003901170351104
255,1.2088209796272216,1.1559023262534316,1.1559023262534316,1.3003901170351104
256,1.2126137841352407,1.1559023262534316,1.1559023262534316,1.3003901170351104
257,1.2164065886432596,1.1559023262534316,1.1559023262534316,1.3003901170351104
258,1.2201993931512787,1.1559023262534316,1.1559023262534316,1.3003901170351104
259,1.2239921976592978,1.1559023262534316,1.1559023262534316,1.3003901170351104
260,1.227785002167317,1.1559023262534316,1.1559023262534316,1.3003901170351104
261,1.231577806675336,1.1559023262534316,1.1559023262534316,1.3003901170351104
262,1.2353706111833551,1.1559023262534316,1.1559023262534316,1.3003901170351104
263,1.239163415691374,1.1559023262534316,1.1559023262534316,1.3003901170351104
264,1.2429562201993931,1.1559023262534316,1.1559023262534316,1.3003901170351104
265,1.2467490247074122,1.1559023262534316,1.1559023262534316,1.3003901170351104
266,1.2505418292154313,1.1559023262534316,1.1559023262534316,1.3003901170351104
267,1.2543346337234504,1.1559023262534316,1.1559023262534316,1.3003901170351104
268,1.2581274382314693,1.1559023262534316,1.1559023262534316,1.3003901170351104
269,1.2619202427394884,1.1559023262534316,1.1559023262534316,1.3003901170351104
270,1.2657130472475075,1.1559023262534316,1.1559023262534316,1.3003901170351104
271,1.2695058517555267,1.1559023262534316,1.1559023262534316,1.3003901170351104
272,1.2732986562635458,1.1559023262534316,1.1559023262534316,1.3003901170351104
273,1.2770914607715649,1.1559023262534316,1.1559023262534316,1.3003901170351104
274,1.2808842652795838,1.1559023262534316,1.1559023262534316,1.3003901170351104
275,1.2846770697876029,1.1559023262534316,1.1559023262534316,1.3003901170351104
276,1.288469874295622,1.1559023262534316,1.1559023262534316,1.3003901170351104
277,1.292262678803641,1.1559023262534316,1.1559023262534316,1.3003901170351104
278,1.2960554833116602,1.1559023262534316,1.1559023262534316,1.3003901170351104
279,1.2998482878196793,1.1559023262534316,1.1559023262534316,1.3003901170351104
280,1.3003901170351104,1.3003901170351104,1.3003901170351104,1.3003901170351104
281,1.3036410923276982,1.3003901170351104,1.3003901170351104,1.3003901170351104
282,1.3074338968357173,1.3003901170351104,1.3003901170351104,1.3003901170351104
283,1.3112267013437364,1.3003901170351104,1.3003901170351104,1.3003901170351104
284,1.3150195058517555,1.3003901170351104,1.3003901170351104,1.3003901170351104
285,1.3188123103597746,1.3003901170351104,1.3003901170351104,1.3003901170351104
286,1.3226051148677938,1.3003901170351104,1.3003901170351104,1.3003901170351104
287,1.3263979193758126,1.3003901170351104,1.3003901170351104,1.3003901170351104
288,1.3301907238838317,1.3003901170351104,1.3003901170351104,1.3003901170351104
289,1.3339835283918509,1.3003901170351104,1.3003901170351104,1.3003901170351104
290,1.33777633289987,1.3003901170351104,1.3003901170351104,1.3003901170351104
291,1.341569137407889,1.3003901170351104,1.3003901170351104,1.3003901170351104
292,1.3453619419159082,1.3003901170351104,1.3003901170351104,1.3003901170351104
293,1.349154746423927,1.3003901170351104,1.3003901170351104,1.3003901170351104
294,1.3529475509319462,1.3003901170351104,1.3003901170351104,1.3003901170351104
295,1.3567403554399653,1.3003901170351104,1.3003901170351104,1.3003901170351104
296,1.3605331599479844,1.3003901170351104,1.3003901170351104,1.3003901170351104
297,1.3643259644560035,1.3003901170351104,1.3003901170351104,1.3003901170351104
298,1.3681187689640226,1.3003901170351104,1.3003901170351104,1.3003901170351104
299,1.3719115734720415,1.3003901170351104,1.3003901170351104,1.3003901170351104
300,1.3757043779800606,1.3003901170351104,1.3003901170351104,1.3003901170351104
301,1.3794971824880797,1.3003901170351104,1.3003901170351104,1.3003901170351104
302,1.3832899869960988,1.3003901170351104,1.3003901170351104,1.3003901170351104
303,1.387082791504118,1.3003901170351104,1.3003901170351104,1.3003901170351104
304,1.390875596012137,1.3003901170351104,1.3003901170351104,1.3003901170351104
305,1.394668400520156,1.3003901170351104,1.3003901170351104,1.3003901170351104
306,1.398461205028175,1.3003901170351104,1.3003901170351104,1.3003901170351104
307,1.4022540095361942,1.3003901170351104,1.3003901170351104,1.3003901170351104
308,1.4060468140442133,1.3003901170351104,1.3003901170351104,1.3003901170351104
309,1.4098396185522324,1.3003901170351104,1.3003901170351104,1.3003901170351104
310,1.4136324230602515,1.3003901170351104,1.3003901170351104,1.3003901170351104
311,1.4174252275682704,1.3003901170351104,1.3003901170351104,1.3003901170351104
312,1.4212180320762895,1.3003901170351104,1.3003901170351104,1.3003901170351104
313,1.4250108365843086,1.3003901170351104,1.3003901170351104,1.3003901170351104
314,1.4288036410923277,1.3003901170351104,1.3003901170351104,1.3003901170351104
315,1.4325964456003468,1.3003901170351104,1.3003901170351104,1.3003901170351104
316,1.436389250108366,1.3003901170351104,1.3003901170351104,1.3003901170351104
317,1.4401820546163848,1.3003901170351104,1.3003901170351104,1.3003901170351104
318,1.443974859124404,1.3003901170351104,1.3003901170351104,1.3003901170351104
319,1.447767663632423,1.3003901170351104,1.3003901170351104,1.3003901170351104
320,1.4515604681404422,1.3003901170351104,1.3003901170351104,1.3003901170351104
321,1.4553532726484613,1.3003901170351104,1.3003901170351104,1.3003901170351104
322,1.4591460771564804,1.3003901170351104,1.3003901170351104,1.3003901170351104
323,1.4629388816644993,1.3003901170351104,1.3003901170351104,1.3003901170351104
324,1.4667316861725184,1.3003901170351104,1.3003901170351104,1.3003901170351104
325,1.4705244906805375,1.3003901170351104,1.3003901170351104,1.3003901170351104
326,1.4743172951885566,1.3003901170351104,1.3003901170351104,1.3003901170351104
327,1.4781100996965757,1.3003901170351104,1.3003901170351104,1.3003901170351104
328,1.4819029042045948,1.3003901170351104,1.3003901170351104,1.3003901170351104
329,1.4856957087126137,1.3003901170351104,1.3003901170351104,1.3003901170351104
330,1.4861601337544121,1.3003901170351104,1.4861601337544121,1.3003901170351104
331,1.4894885132206328,1.3003901170351104,1.4861601337544121,1.3003901170351104
332,1.493281317728652,1.3003901170351104,1.4861601337544121,1.3003901170351104
333,1.497074122236671,1.3003901170351104,1.4861601337544121,1.3003901170351104
334,1.5008669267446901,1.3003901170351104,1.4861601337544121,1.3003901170351104
335,1.5046597312527092,1.3003901170351104,1.4861601337544121,1.3003901170351104
336,1.5084525357607281,1.3003901170351104,1.4861601337544121,1.3003901170351104
337,1.5122453402687472,1.3003901170351104,1.4861601337544121,1.3003901170351104
338,1.5160381447767663,1.3003901170351104,1.4861601337544121,1.3003901170351104
339,1.5198309492847855,1.3003901170351104,1.4861601337544121,1.3003901170351104
340,1.5236237537928046,1.3003901170351104,1.4861601337544121,1.3003901170351104
341,1.5274165583008237,1.3003901170351104,1.4861601337544121,1.3003901170351104
342,1.5312093628088426,1.3003901170351104,1.4861601337544121,1.3003901170351104
343,1.5350021673168617,1.3003901170351104,1.4861601337544121,1.3003901170351104
344,1.5387949718248808,1.3003901170351104,1.4861601337544121,1.3003901170351104
345,1.5425877763329,1.3003901170351104,1.4861601337544121,1.3003901170351104
346,1.546380580840919,1.3003901170351104,1.4861601337544121,1.3003901170351104
347,1.5501733853489381,1.3003901170351104,1.4861601337544121,1.3003901170351104
348,1.553966189856957,1.3003901170351104,1.4861601337544121,1.3003901170351104
349,1.5577589943649761,1.3003901170351104,1.4861601337544121,1.3003901170351104
350,1.5615517988729952,1.3003901170351104,1.4861601337544121,1.3003901170351104
351,1.5653446033810143,1.3003901170351104,1.4861601337544121,1.3003901170351104
352,1.5691374078890334,1.3003901170351104,1.4861601337544121,1.3003901170351104
353,1.5729302123970526,1.3003901170351104,1.4861601337544121,1.3003901170351104
354,1.5767230169050714,1.3003901170351104,1.4861601337544121,1.3003901170351104
355,1.5805158214130905,1.3003901170351104,1.4861601337544121,1.3003901170351104
356,1.5843086259211097,1.3003901170351104,1.4861601337544121,1.3003901170351104
357,1.5881014304291288,1.3003901170351104,1.4861601337544121,1.3003901170351104
358,1.5918942349371479,1.3003901170351104,1.4861601337544121,1.3003901170351104
359,1.595687039445167,1.3003901170351104,1.4861601337544121,1.3003901170351104
360,1.5994798439531859,1.3003901170351104,1.4861601337544121,1.3003901170351104
361,1.603272648461205,1.3003901170351104,1.4861601337544121,1.3003901170351104
362,1.607065452969224,1.3003901170351104,1.4861601337544121,1.3003901170351104
