n,resident_queries,nCCDAB,cycles,scan_us,trace_commands,mac_commands,represented_mac_operations,key_event_count,softmax_commands,path,batch,profile_heads_per_HBM
16059,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16059-Q1,1,7
16060,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16060-Q1,1,7
8035,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08035-Q1,2,13
8035,4,7,21319,16.394311000000002,54656,26156,104624,13078,52,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08035-Q4,2,13
8035,8,8,27833,21.403577000000002,82580,26156,209248,13078,104,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08035-Q8,2,13
8036,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08036-Q1,2,13
8037,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08037-Q1,2,13
8038,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08038-Q1,2,13
8039,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08039-Q1,2,13
8040,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08040-Q1,2,13
8041,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08041-Q1,2,13
8042,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08042-Q1,2,13
8043,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08043-Q1,2,13
8044,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08044-Q1,2,13
8045,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08045-Q1,2,13
8046,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08046-Q1,2,13
8047,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08047-Q1,2,13
8048,1,6,16428,12.633132,33713,26156,26156,13078,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08048-Q1,2,13
8049,1,6,16452,12.651588,33765,26208,26208,13104,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08049-Q1,2,13
8050,1,6,16452,12.651588,33765,26208,26208,13104,13,Fugue-asplos-raw/Fugue-asplos-B2/Fugue-asplos-N08050-Q1,2,13
8035,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08035-Q1,4,26
8035,4,7,41598,31.988862,115636,58364,233456,26172,104,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08035-Q4,4,26
8035,8,8,55486,42.668734,171804,58364,466912,26172,208,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08035-Q8,4,26
8036,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08036-Q1,4,26
8037,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08037-Q1,4,26
8038,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08038-Q1,4,26
8039,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08039-Q1,4,26
8040,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08040-Q1,4,26
8041,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08041-Q1,4,26
8042,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08042-Q1,4,26
8043,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08043-Q1,4,26
8044,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08044-Q1,4,26
8045,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08045-Q1,4,26
8046,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08046-Q1,4,26
8047,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08047-Q1,4,26
8048,1,6,32435,24.942515,73510,58364,58364,26172,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08048-Q1,4,26
8049,1,6,32483,24.979427,73626,58480,58480,26224,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08049-Q1,4,26
8050,1,6,32483,24.979427,73626,58480,58480,26224,26,Fugue-asplos-raw/Fugue-asplos-B4/Fugue-asplos-N08050-Q1,4,26
