q,gpu_service_us,gpu_throughput_tokens_per_second,source_panels,source_kind
532,364.82289066505405,1458241.8307968297,e,integer-refinement
533,365.6024218409846,1457867.80436543,e,integer-refinement
534,366.38269933685393,1457492.4006142493,e,integer-refinement
535,367.1637231526619,1457115.6306135233,e,integer-refinement
536,367.9454932884085,1456737.5053561658,e,integer-refinement
537,368.72800974409375,1456358.0357583659,e,integer-refinement
538,369.5112725197177,1455977.2326601795,e,integer-refinement
539,370.29528161528026,1455595.1068261145,e,integer-refinement
540,371.08003703078157,1455211.6689457113,e,integer-refinement
541,371.8655387662214,1454826.9296341208,e,integer-refinement
542,372.65178682159996,1454440.8994326715,e,integer-refinement
543,373.43878119691726,1454053.5888094378,e,integer-refinement
544,374.22652189217314,1453665.0081598016,e,integer-refinement
545,375.0150089073677,1453275.1678070044,e,integer-refinement
546,375.80424224250083,1452884.0780027024,e,integer-refinement
547,376.5942218975727,1452491.7489275096,e,integer-refinement
548,377.38494787258327,1452098.1906915419,e,integer-refinement
549,378.1764201675324,1451703.4133349527,e,integer-refinement
550,378.9686387824203,1451307.4268284638,e,integer-refinement
551,379.7616037172468,1450910.2410738962,e,integer-refinement
552,380.555314972012,1450511.8659046895,e,integer-refinement
553,381.3497725467158,1450112.3110864235,e,integer-refinement
554,382.1449764413583,1449711.5863173294,e,integer-refinement
555,382.94092665593945,1449309.7012288014,e,integer-refinement
556,383.73762319045926,1448906.6653859017,e,integer-refinement
557,384.53506604491776,1448502.48828786,e,integer-refinement
558,385.3332552193148,1448097.1793685723,e,integer-refinement
559,386.1321907136507,1447690.74799709,e,integer-refinement
560,386.9318725279251,1447283.2034781121,e,integer-refinement
561,387.73230066213824,1446874.5550524653,e,integer-refinement
562,388.53347511629,1446464.8118975866,e,integer-refinement
563,389.3353958903804,1446053.9831279963,e,integer-refinement
564,390.1380629844095,1445642.0777957733,e,integer-refinement
565,390.9414763983773,1445229.1048910185,e,integer-refinement
566,391.74563613228366,1444815.073342322,e,integer-refinement
567,392.5505421861288,1444399.9920172205,e,integer-refinement
568,393.3561945599125,1443983.8697226548,e,integer-refinement
569,394.1625932536349,1443566.7152054205,e,integer-refinement
570,394.96973826729595,1443148.5371526165,e,integer-refinement
571,395.77762960089564,1442729.34419209,e,integer-refinement
572,396.58626725443406,1442309.144892875,e,integer-refinement
573,397.3956512279111,1441887.947765633,e,integer-refinement
574,398.2057815213268,1441465.7612630823,e,integer-refinement
575,399.0166581346811,1441042.59378043,e,integer-refinement
576,399.82828106797416,1440618.4536557961,e,integer-refinement
577,400.64065032120584,1440193.3491706382,e,integer-refinement
578,401.45376589437615,1439767.2885501685,e,integer-refinement
579,402.26762778748514,1439340.2799637688,e,integer-refinement
580,403.08223600053276,1438912.3315254047,e,integer-refinement
581,403.8975905335191,1438483.4512940312,e,integer-refinement
582,404.7136913864441,1438053.6472739999,e,integer-refinement
583,405.53053855930773,1437622.9274154599,e,integer-refinement
584,406.34813205211003,1437191.2996147547,e,integer-refinement
585,407.166471864851,1436758.7717148196,e,integer-refinement
586,407.98555799753063,1436325.3515055715,e,integer-refinement
587,408.80539045014893,1435891.0467242987,e,integer-refinement
588,409.62596922270586,1435455.8650560447,e,integer-refinement
589,410.4472943152014,1435019.8141339915,e,integer-refinement
590,411.2693657276357,1434582.9015398368,e,integer-refinement
591,412.0921834600086,1434145.134804173,e,integer-refinement
592,412.91574751232025,1433706.5214068552,e,integer-refinement
593,413.74005788457043,1433267.0687773756,e,integer-refinement
594,414.5651145767593,1432826.784295226,e,integer-refinement
595,415.3909175888869,1432385.6752902635,e,integer-refinement
596,416.2174669209531,1431943.7490430712,e,integer-refinement
597,417.044762572958,1431501.0127853137,e,integer-refinement
598,417.8728045449015,1431057.4737000943,e,integer-refinement
599,418.70159283678373,1430613.1389223048,e,integer-refinement
600,419.5311274486046,1430168.0155389758,e,integer-refinement
601,420.36140838036414,1429722.1105896214,e,integer-refinement
602,421.1924356320623,1429275.4310665834,e,integer-refinement
603,422.0242092036992,1428827.9839153704,e,integer-refinement
604,422.8567290952746,1428379.7760349978,e,integer-refinement
605,423.68999530678883,1427930.8142783188,e,integer-refinement
606,424.5240078382417,1427481.105452361,e,integer-refinement
607,425.3587666896331,1427030.6563186531,e,integer-refinement
608,426.1942718609633,1426579.4735935514,e,integer-refinement
609,427.0305233522321,1426127.563948566,e,integer-refinement
610,427.86752116343956,1425674.9340106803,e,integer-refinement
611,428.7052652945857,1425221.5903626706,e,integer-refinement
612,429.54375574567047,1424767.5395434229,e,integer-refinement
613,430.3829925166939,1424312.7880482466,e,integer-refinement
614,431.222975607656,1423857.342329185,e,integer-refinement
615,432.06370501855673,1423401.208795324,e,integer-refinement
616,432.9051807493962,1422944.3938131,e,integer-refinement
