panel,source_panel,sample,model,q,cached_tokens,link_GBps,mode,gpu_service_us,pim_service_us,gpu_throughput_tokens_per_us,pim_throughput_tokens_per_us,gpu_throughput_tokens_per_second,pim_throughput_tokens_per_second,pim_over_gpu_throughput,displayed,original_marker,source_kind
B,e,26,LLAMA-7B,523,1024,300,mq,357.8406944789181,358.3655858050912,1.4615442236428258,1.4594035273366082,1461544.2236428258,1459403.5273366082,0.9985353188281351,true,false,integer-refinement
B,e,27,LLAMA-7B,524,1024,300,mq,358.6135087754008,358.72515988703236,1.4611831043101629,1.4607283195999272,1461183.1043101628,1460728.3195999272,0.9996887558384064,true,false,integer-refinement
B,e,28,LLAMA-7B,525,1024,300,mq,359.38706939182214,359.1071304343673,1.4608205044450784,1.4619592748408328,1460820.5044450783,1461959.2748408327,1.0007795416290293,true,false,integer-refinement
B,e,29,LLAMA-7B,526,1024,300,mq,360.16137632818214,359.773726447096,1.4604564358414276,1.4620300520397984,1460456.4358414277,1462030.0520397983,1.0010774824635316,true,false,integer-refinement
B,e,30,LLAMA-7B,527,1024,300,mq,360.93642958448083,360.15896392521853,1.4600909102101325,1.4632427699603874,1460090.9102101326,1463242.7699603874,1.0021586736334118,true,false,integer-refinement
B,e,31,LLAMA-7B,528,1024,300,mq,361.7122291607181,360.5719808687349,1.4597239391798278,1.4643400708171408,1459723.9391798277,1464340.0708171409,1.0031623319405905,true,false,integer-refinement
B,e,32,LLAMA-7B,529,1024,300,mq,362.4887750568941,363.7934812776454,1.4593555342975,1.4541217125225776,1459355.5342975,1454121.7125225775,0.9964136074781517,true,false,integer-refinement
B,e,33,LLAMA-7B,530,1024,300,mq,363.26606727300873,364.4289301519493,1.4589857070291241,1.45433020309067,1458985.707029124,1454330.20309067,0.9968090818737806,true,false,integer-refinement
B,e,34,LLAMA-7B,531,1024,300,mq,364.04410580906205,364.77379249164704,1.4586144687602904,1.4556966836156668,1458614.4687602904,1455696.6836156668,0.9979996186743549,true,false,integer-refinement
B,e,35,LLAMA-7B,532,1024,300,mq,364.82289066505405,365.12951629673853,1.4582418307968297,1.4570172397885435,1458241.8307968297,1457017.2397885434,0.9991602277602907,true,false,integer-refinement
B,e,36,LLAMA-7B,533,1024,300,mq,365.6024218409846,365.5107125672238,1.45786780436543,1.4582335939113469,1457867.80436543,1458233.593911347,1.000250907211766,true,false,integer-refinement
B,e,37,LLAMA-7B,534,1024,300,mq,366.38269933685393,366.1811483031029,1.4574924006142493,1.458294624053084,1457492.4006142493,1458294.624053084,1.000550413462531,true,false,integer-refinement
B,e,38,LLAMA-7B,535,1024,300,mq,367.1637231526619,366.5748395043758,1.4571156306135233,1.459456412020372,1457115.6306135233,1459456.412020372,1.0016064486288319,true,false,integer-refinement
B,e,39,LLAMA-7B,536,1024,300,mq,367.9454932884085,366.9778541710424,1.4567375053561658,1.4605785987025233,1456737.5053561658,1460578.5987025232,1.0026367779591274,true,false,integer-refinement
B,e,40,LLAMA-7B,537,1024,300,mq,368.72800974409375,369.4895623031029,1.4563580357583659,1.4533563455832712,1456358.0357583659,1453356.3455832712,0.99793890643551,true,false,integer-refinement
B,e,41,LLAMA-7B,538,1024,300,mq,369.5112725197177,370.12577490055713,1.4559772326601794,1.4535599422778545,1455977.2326601795,1453559.9422778545,0.998339747127839,true,false,integer-refinement
B,e,42,LLAMA-7B,539,1024,300,mq,370.29528161528026,370.47140096340513,1.4555951068261144,1.45490312774033,1455595.1068261145,1454903.1277403298,0.9995246074388823,true,false,integer-refinement
B,e,43,LLAMA-7B,540,1024,300,mq,371.08003703078157,370.827888491647,1.4552116689457113,1.4562011562735084,1455211.6689457113,1456201.1562735084,1.0006799611004453,true,false,integer-refinement
B,e,44,LLAMA-7B,541,1024,300,mq,371.8655387662214,371.2098484852827,1.4548269296341207,1.45739667793714,1454826.9296341208,1457396.67793714,1.0017663601426907,true,false,integer-refinement
B,e,45,LLAMA-7B,542,1024,300,mq,372.65178682159996,371.8810479443121,1.4544408994326714,1.457455288447941,1454440.8994326715,1457455.288447941,1.0020725414256746,true,false,integer-refinement
B,e,46,LLAMA-7B,543,1024,300,mq,373.43878119691726,372.2755028687353,1.454053588809438,1.4585971835795553,1454053.5888094378,1458597.1835795552,1.0031247780722012,true,false,integer-refinement
B,e,47,LLAMA-7B,544,1024,300,mq,374.22652189217314,372.67928125855235,1.4536650081598015,1.459700142607582,1453665.0081598016,1459700.142607582,1.0041516679660745,true,false,integer-refinement
B,e,48,LLAMA-7B,545,1024,300,mq,375.0150089073677,400.9378731137631,1.4532751678070044,1.35931284257938,1453275.1678070044,1359312.84257938,0.9353444362712026,true,false,integer-refinement
B,e,49,LLAMA-7B,546,1024,300,mq,375.80424224250083,401.5779254343676,1.4528840780027024,1.359636487512151,1452884.0780027024,1359636.487512151,0.9358189742028559,true,false,integer-refinement
B,e,50,LLAMA-7B,547,1024,300,mq,376.5942218975727,401.924315220366,1.4524917489275095,1.3609527447974683,1452491.7489275096,1360952.7447974684,0.9369779524065237,true,false,integer-refinement
B,e,51,LLAMA-7B,548,1024,300,mq,377.38494787258327,402.27387647175823,1.4520981906915418,1.3622559953591034,1452098.1906915419,1362255.9953591034,0.9381293937914402,true,false,integer-refinement
B,e,52,LLAMA-7B,549,1024,300,mq,378.1764201675324,402.65967618854427,1.4517034133349527,1.3634342658710437,1451703.4133349527,1363434.2658710435,0.9391961562857174,true,false,integer-refinement
B,e,53,LLAMA-7B,550,1024,300,mq,378.9686387824203,403.331639370724,1.4513074268284638,1.3636420908067297,1451307.4268284638,1363642.0908067296,0.9395956126171636,true,false,integer-refinement
B,e,54,LLAMA-7B,551,1024,300,mq,379.7616037172468,403.71455401829763,1.450910241073896,1.3648257030015989,1450910.2410738962,1364825.7030015988,0.9406685984871251,true,false,integer-refinement
B,e,55,LLAMA-7B,552,1024,300,mq,380.555314972012,404.49283013126507,1.4505118659046896,1.3646719023940825,1450511.8659046895,1364671.9023940826,0.9408209160308604,true,false,integer-refinement
B,e,56,LLAMA-7B,553,1024,300,mq,381.3497725467158,407.0245217096262,1.4501123110864234,1.3586405007669626,1450112.3110864235,1358640.5007669625,0.9369208787346064,true,false,integer-refinement
B,e,57,LLAMA-7B,554,1024,300,mq,382.1449764413583,407.6653377533812,1.4497115863173293,1.3589578232308397,1449711.5863173294,1358957.8232308398,0.9373987461071279,true,false,integer-refinement
B,e,58,LLAMA-7B,555,1024,300,mq,382.94092665593945,408.01249126253,1.4493097012288014,1.3602524723756384,1449309.7012288014,1360252.4723756383,0.9385519680316391,true,false,integer-refinement
B,e,59,LLAMA-7B,556,1024,300,mq,383.73762319045926,408.3628162370725,1.4489066653859017,1.3615343461565748,1448906.6653859017,1361534.3461565748,0.9396977587883094,true,false,integer-refinement
B,e,60,LLAMA-7B,557,1024,300,mq,384.53506604491776,408.74937967700885,1.44850248828786,1.3626931995349763,1448502.48828786,1362693.1995349762,0.9407599990702736,true,false,integer-refinement
B,e,61,LLAMA-7B,558,1024,300,mq,385.3332552193148,409.42210658233904,1.4480971793685724,1.3628966072641229,1448097.1793685723,1362896.607264123,0.9411637745599365,true,false,integer-refinement
